Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
15_arena,Chrome 70.0.3538.110,,2018-12-07 10:52:03,2018-12-07 10:56:02,3m - 59.496s,PASSED
,,,,,,
Test Cases/Backoffice/create_arena/create_arena,Chrome 70.0.3538.110,,2018-12-07 10:52:03,2018-12-07 10:52:21,17.566s,PASSED
mj.loginBackoffice.login(),Chrome 70.0.3538.110,,2018-12-07 10:52:04,2018-12-07 10:52:14,9.656s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 70.0.3538.110,,2018-12-07 10:52:14,2018-12-07 10:52:14,0.228s,PASSED
"click(findTestObject(""Backoffice/headers/span_arena""))",Chrome 70.0.3538.110,,2018-12-07 10:52:14,2018-12-07 10:52:16,1.549s,PASSED
"click(findTestObject(""Backoffice/arena_mgmt/button_create_arena""))",Chrome 70.0.3538.110,,2018-12-07 10:52:16,2018-12-07 10:52:16,0.269s,PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 70.0.3538.110,,2018-12-07 10:52:16,2018-12-07 10:52:18,2.053s,PASSED
"setText(findTestObject(""Backoffice/arena_mgmt/input_arena_name""), Arena_Name)",Chrome 70.0.3538.110,,2018-12-07 10:52:18,2018-12-07 10:52:19,0.701s,PASSED
"setText(findTestObject(""Backoffice/arena_mgmt/input_event_name""), Event_Name)",Chrome 70.0.3538.110,,2018-12-07 10:52:19,2018-12-07 10:52:19,0.714s,PASSED
"setText(findTestObject(""Backoffice/arena_mgmt/input_acronym""), Acronym)",Chrome 70.0.3538.110,,2018-12-07 10:52:19,2018-12-07 10:52:20,0.259s,PASSED
"setText(findTestObject(""Backoffice/arena_mgmt/input_profit_margin""), Profit_Margin)",Chrome 70.0.3538.110,,2018-12-07 10:52:20,2018-12-07 10:52:20,0.303s,PASSED
"click(findTestObject(""Backoffice/arena_mgmt/input_submit""))",Chrome 70.0.3538.110,,2018-12-07 10:52:20,2018-12-07 10:52:21,1.188s,PASSED
,,,,,,
Test Cases/Backoffice/create_arena/create_arena,Chrome 70.0.3538.110,,2018-12-07 10:52:21,2018-12-07 10:52:37,15.600s,PASSED
mj.loginBackoffice.login(),Chrome 70.0.3538.110,,2018-12-07 10:52:21,2018-12-07 10:52:30,8.450s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 70.0.3538.110,,2018-12-07 10:52:30,2018-12-07 10:52:30,0.131s,PASSED
"click(findTestObject(""Backoffice/headers/span_arena""))",Chrome 70.0.3538.110,,2018-12-07 10:52:30,2018-12-07 10:52:31,1.554s,PASSED
"click(findTestObject(""Backoffice/arena_mgmt/button_create_arena""))",Chrome 70.0.3538.110,,2018-12-07 10:52:31,2018-12-07 10:52:31,0.240s,PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 70.0.3538.110,,2018-12-07 10:52:31,2018-12-07 10:52:33,2.003s,PASSED
"setText(findTestObject(""Backoffice/arena_mgmt/input_arena_name""), Arena_Name)",Chrome 70.0.3538.110,,2018-12-07 10:52:33,2018-12-07 10:52:34,0.519s,PASSED
"setText(findTestObject(""Backoffice/arena_mgmt/input_event_name""), Event_Name)",Chrome 70.0.3538.110,,2018-12-07 10:52:34,2018-12-07 10:52:35,0.779s,PASSED
"setText(findTestObject(""Backoffice/arena_mgmt/input_acronym""), Acronym)",Chrome 70.0.3538.110,,2018-12-07 10:52:35,2018-12-07 10:52:35,0.284s,PASSED
"setText(findTestObject(""Backoffice/arena_mgmt/input_profit_margin""), Profit_Margin)",Chrome 70.0.3538.110,,2018-12-07 10:52:35,2018-12-07 10:52:35,0.248s,PASSED
"click(findTestObject(""Backoffice/arena_mgmt/input_submit""))",Chrome 70.0.3538.110,,2018-12-07 10:52:35,2018-12-07 10:52:37,1.350s,PASSED
,,,,,,
Test Cases/Backoffice/create_arena/create_arena,Chrome 70.0.3538.110,,2018-12-07 10:52:37,2018-12-07 10:52:53,16.287s,PASSED
mj.loginBackoffice.login(),Chrome 70.0.3538.110,,2018-12-07 10:52:37,2018-12-07 10:52:46,9.028s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 70.0.3538.110,,2018-12-07 10:52:46,2018-12-07 10:52:46,0.184s,PASSED
"click(findTestObject(""Backoffice/headers/span_arena""))",Chrome 70.0.3538.110,,2018-12-07 10:52:46,2018-12-07 10:52:47,1.440s,PASSED
"click(findTestObject(""Backoffice/arena_mgmt/button_create_arena""))",Chrome 70.0.3538.110,,2018-12-07 10:52:47,2018-12-07 10:52:48,0.281s,PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 70.0.3538.110,,2018-12-07 10:52:48,2018-12-07 10:52:50,2.003s,PASSED
"setText(findTestObject(""Backoffice/arena_mgmt/input_arena_name""), Arena_Name)",Chrome 70.0.3538.110,,2018-12-07 10:52:50,2018-12-07 10:52:50,0.590s,PASSED
"setText(findTestObject(""Backoffice/arena_mgmt/input_event_name""), Event_Name)",Chrome 70.0.3538.110,,2018-12-07 10:52:50,2018-12-07 10:52:51,1.074s,PASSED
"setText(findTestObject(""Backoffice/arena_mgmt/input_acronym""), Acronym)",Chrome 70.0.3538.110,,2018-12-07 10:52:51,2018-12-07 10:52:51,0.234s,PASSED
"setText(findTestObject(""Backoffice/arena_mgmt/input_profit_margin""), Profit_Margin)",Chrome 70.0.3538.110,,2018-12-07 10:52:51,2018-12-07 10:52:52,0.270s,PASSED
"click(findTestObject(""Backoffice/arena_mgmt/input_submit""))",Chrome 70.0.3538.110,,2018-12-07 10:52:52,2018-12-07 10:52:53,1.149s,PASSED
,,,,,,
Test Cases/Backoffice/create_arena/create_arena,Chrome 70.0.3538.110,,2018-12-07 10:52:53,2018-12-07 10:53:08,15.332s,PASSED
mj.loginBackoffice.login(),Chrome 70.0.3538.110,,2018-12-07 10:52:53,2018-12-07 10:53:01,8.332s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 70.0.3538.110,,2018-12-07 10:53:01,2018-12-07 10:53:01,0.208s,PASSED
"click(findTestObject(""Backoffice/headers/span_arena""))",Chrome 70.0.3538.110,,2018-12-07 10:53:01,2018-12-07 10:53:03,1.597s,PASSED
