Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_CCAC,Chrome 71.0.3578.98,,2019-01-08 10:15:39,2019-01-08 10:16:38,58.859s,FAILED
,,,,,,
Test Cases/DEV/Backoffice/create_match/create_match_loop_with_open_match,Chrome 71.0.3578.98,,2019-01-08 10:15:40,2019-01-08 10:16:37,57.467s,FAILED
mj.loginBackofficeDev.login(),Chrome 71.0.3578.98,,2019-01-08 10:15:41,2019-01-08 10:15:57,15.478s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 71.0.3578.98,,2019-01-08 10:15:57,2019-01-08 10:15:57,0.094s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 10:15:57,2019-01-08 10:15:58,1.019s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 71.0.3578.98,,2019-01-08 10:15:58,2019-01-08 10:15:58,0.084s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 71.0.3578.98,,2019-01-08 10:15:58,2019-01-08 10:15:59,1.259s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 10:15:59,2019-01-08 10:16:00,1.003s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-08 10:16:00,2019-01-08 10:16:00,0.111s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 71.0.3578.98,,2019-01-08 10:16:00,2019-01-08 10:16:00,0.160s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 10:16:00,2019-01-08 10:16:01,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 71.0.3578.98,,2019-01-08 10:16:01,2019-01-08 10:16:02,0.251s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 71.0.3578.98,,2019-01-08 10:16:02,2019-01-08 10:16:04,2.041s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-01-08 10:16:04,2019-01-08 10:16:04,0.186s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 71.0.3578.98,,2019-01-08 10:16:04,2019-01-08 10:16:04,0.356s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_weight""), Meron_Weight)",Chrome 71.0.3578.98,,2019-01-08 10:16:04,2019-01-08 10:16:05,0.489s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_name""), Wala_Name)",Chrome 71.0.3578.98,,2019-01-08 10:16:05,2019-01-08 10:16:05,0.345s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_weight""), Wala_Weight)",Chrome 71.0.3578.98,,2019-01-08 10:16:05,2019-01-08 10:16:06,0.496s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/input_submit_match""))",Chrome 71.0.3578.98,,2019-01-08 10:16:06,2019-01-08 10:16:08,2.333s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_link_match""))",Chrome 71.0.3578.98,,2019-01-08 10:16:08,2019-01-08 10:16:08,0.187s,PASSED
switchToWindowIndex(1),Chrome 71.0.3578.98,,2019-01-08 10:16:08,2019-01-08 10:16:08,0.045s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 10:16:08,2019-01-08 10:16:09,1.002s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/open_match/button_open_match""))",Chrome 71.0.3578.98,,2019-01-08 10:16:09,2019-01-08 10:16:10,1.256s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 10:16:10,2019-01-08 10:16:11,1.033s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""), 1)",Chrome 71.0.3578.98,,2019-01-08 10:16:11,2019-01-08 10:16:12,0.096s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 10:16:12,2019-01-08 10:16:13,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""))",Chrome 71.0.3578.98,,2019-01-08 10:16:13,2019-01-08 10:16:13,0.180s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-08 10:16:13,2019-01-08 10:16:15,2.003s,PASSED
closeWindowIndex(1),Chrome 71.0.3578.98,,2019-01-08 10:16:15,2019-01-08 10:16:15,0.098s,PASSED
switchToWindowIndex(0),Chrome 71.0.3578.98,,2019-01-08 10:16:15,2019-01-08 10:16:15,0.042s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-08 10:16:15,2019-01-08 10:16:15,0.049s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 10:16:15,2019-01-08 10:16:16,1.003s,PASSED
"for ([loop = 1, loop <= 159, (loop++)])",Chrome 71.0.3578.98,,2019-01-08 10:16:16,2019-01-08 10:16:37,21.301s,FAILED
