Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_ASC,Chrome 71.0.3578.98,,2018-12-28 12:28:44,2018-12-28 12:29:29,45.462s,ERROR
,,,,,,
Test Cases/STAGING/Backoffice/create_match/create_match_15_users/create_match_loop_with_open_match_user1,Chrome 71.0.3578.98,,2018-12-28 12:28:44,2018-12-28 12:29:28,43.944s,ERROR
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-28 12:28:47,2018-12-28 12:28:57,9.504s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-28 12:28:57,2018-12-28 12:28:58,1.209s,PASSED
"navigateToUrl(""http://staging-admin.ucf88.com/login"")",Chrome 71.0.3578.98,,2018-12-28 12:28:58,2018-12-28 12:29:02,3.797s,PASSED
"setText(findTestObject(""Backoffice/login_page/input_username""), ""admin1"")",Chrome 71.0.3578.98,,2018-12-28 12:29:02,2018-12-28 12:29:02,0.281s,PASSED
"setEncryptedText(findTestObject(""Backoffice/login_page/input_password""), ""CSt51UwWECc="")",Chrome 71.0.3578.98,,2018-12-28 12:29:02,2018-12-28 12:29:02,0.235s,PASSED
"click(findTestObject(""Backoffice/login_page/button_login""))",Chrome 71.0.3578.98,,2018-12-28 12:29:02,2018-12-28 12:29:06,3.205s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 71.0.3578.98,,2018-12-28 12:29:06,2018-12-28 12:29:06,0.235s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-28 12:29:06,2018-12-28 12:29:07,1.059s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 71.0.3578.98,,2018-12-28 12:29:07,2018-12-28 12:29:07,0.236s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 71.0.3578.98,,2018-12-28 12:29:07,2018-12-28 12:29:11,3.422s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-28 12:29:11,2018-12-28 12:29:12,1.005s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2018-12-28 12:29:12,2018-12-28 12:29:12,0.115s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 71.0.3578.98,,2018-12-28 12:29:12,2018-12-28 12:29:12,0.239s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-28 12:29:12,2018-12-28 12:29:13,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 71.0.3578.98,,2018-12-28 12:29:13,2018-12-28 12:29:13,0.281s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 71.0.3578.98,,2018-12-28 12:29:13,2018-12-28 12:29:14,0.620s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2018-12-28 12:29:14,2018-12-28 12:29:14,0.111s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 71.0.3578.98,,2018-12-28 12:29:14,2018-12-28 12:29:14,0.206s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_weight""), Meron_Weight)",Chrome 71.0.3578.98,,2018-12-28 12:29:14,2018-12-28 12:29:14,0.238s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_name""), Wala_Name)",Chrome 71.0.3578.98,,2018-12-28 12:29:14,2018-12-28 12:29:15,0.206s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_weight""), Wala_Weight)",Chrome 71.0.3578.98,,2018-12-28 12:29:15,2018-12-28 12:29:15,0.469s,PASSED
