Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_BCA,Chrome 71.0.3578.98,,2018-12-28 12:46:49,2018-12-28 12:49:18,2m - 29.041s,PASSED
,,,,,,
Test Cases/STAGING/Backoffice/create_match/create_match_15_users/create_match_loop_with_open_match_user4,Chrome 71.0.3578.98,,2018-12-28 12:46:50,2018-12-28 12:49:17,2m - 27.398s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-28 12:46:52,2018-12-28 12:46:58,5.347s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-28 12:46:58,2018-12-28 12:46:59,1.180s,PASSED
"navigateToUrl(""http://staging-admin.ucf88.com/login"")",Chrome 71.0.3578.98,,2018-12-28 12:46:59,2018-12-28 12:47:01,2.619s,PASSED
"setText(findTestObject(""Backoffice/login_page/input_username""), ""admin4"")",Chrome 71.0.3578.98,,2018-12-28 12:47:01,2018-12-28 12:47:02,0.313s,PASSED
"setEncryptedText(findTestObject(""Backoffice/login_page/input_password""), ""CSt51UwWECc="")",Chrome 71.0.3578.98,,2018-12-28 12:47:02,2018-12-28 12:47:02,0.256s,PASSED
"click(findTestObject(""Backoffice/login_page/button_login""))",Chrome 71.0.3578.98,,2018-12-28 12:47:02,2018-12-28 12:47:04,1.855s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 71.0.3578.98,,2018-12-28 12:47:04,2018-12-28 12:47:04,0.132s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-28 12:47:04,2018-12-28 12:47:05,1.027s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 71.0.3578.98,,2018-12-28 12:47:05,2018-12-28 12:47:05,0.166s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 71.0.3578.98,,2018-12-28 12:47:05,2018-12-28 12:47:07,1.721s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-28 12:47:07,2018-12-28 12:47:08,1.002s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2018-12-28 12:47:08,2018-12-28 12:47:08,0.129s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 71.0.3578.98,,2018-12-28 12:47:08,2018-12-28 12:47:08,0.185s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-28 12:47:08,2018-12-28 12:47:09,1.005s,PASSED
