Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_DRC,Chrome 71.0.3578.98,,2019-01-02 11:56:59,2019-01-02 12:11:52,14m - 53.087s,PASSED
,,,,,,
Test Cases/STAGING/Backoffice/create_match/create_match_15_users/create_match_loop_with_open_match_user7,Chrome 71.0.3578.98,,2019-01-02 11:57:00,2019-01-02 12:11:51,14m - 51.370s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-02 11:57:01,2019-01-02 11:57:07,6.022s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-02 11:57:07,2019-01-02 11:57:09,1.293s,PASSED
"navigateToUrl(""http://staging-admin.ucf88.com/login"")",Chrome 71.0.3578.98,,2019-01-02 11:57:09,2019-01-02 11:57:11,2.592s,PASSED
"setText(findTestObject(""Backoffice/login_page/input_username""), ""admin7"")",Chrome 71.0.3578.98,,2019-01-02 11:57:11,2019-01-02 11:57:11,0.376s,PASSED
"setEncryptedText(findTestObject(""Backoffice/login_page/input_password""), ""CSt51UwWECc="")",Chrome 71.0.3578.98,,2019-01-02 11:57:11,2019-01-02 11:57:12,0.229s,PASSED
"click(findTestObject(""Backoffice/login_page/button_login""))",Chrome 71.0.3578.98,,2019-01-02 11:57:12,2019-01-02 11:57:15,2.885s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 71.0.3578.98,,2019-01-02 11:57:15,2019-01-02 11:57:15,0.185s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-02 11:57:15,2019-01-02 11:57:16,1.033s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 71.0.3578.98,,2019-01-02 11:57:16,2019-01-02 11:57:16,0.203s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 71.0.3578.98,,2019-01-02 11:57:16,2019-01-02 11:57:18,1.516s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-02 11:57:18,2019-01-02 11:57:19,1.002s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-02 11:57:19,2019-01-02 11:57:19,0.034s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 71.0.3578.98,,2019-01-02 11:57:19,2019-01-02 11:57:19,0.071s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-02 11:57:19,2019-01-02 11:57:20,1.002s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 71.0.3578.98,,2019-01-02 11:57:20,2019-01-02 11:57:20,0.091s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 71.0.3578.98,,2019-01-02 11:57:20,2019-01-02 11:57:20,0.575s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-01-02 11:57:20,2019-01-02 11:57:21,0.248s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 71.0.3578.98,,2019-01-02 11:57:21,2019-01-02 11:57:21,0.187s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_weight""), Meron_Weight)",Chrome 71.0.3578.98,,2019-01-02 11:57:21,2019-01-02 11:57:21,0.193s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_name""), Wala_Name)",Chrome 71.0.3578.98,,2019-01-02 11:57:21,2019-01-02 11:57:21,0.171s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_weight""), Wala_Weight)",Chrome 71.0.3578.98,,2019-01-02 11:57:21,2019-01-02 11:57:21,0.180s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/input_submit_match""))",Chrome 71.0.3578.98,,2019-01-02 11:57:21,2019-01-02 11:57:23,1.431s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_link_match""))",Chrome 71.0.3578.98,,2019-01-02 11:57:23,2019-01-02 11:57:23,0.227s,PASSED
switchToWindowIndex(1),Chrome 71.0.3578.98,,2019-01-02 11:57:23,2019-01-02 11:57:23,0.057s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-02 11:57:23,2019-01-02 11:57:24,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/open_match/button_open_match""))",Chrome 71.0.3578.98,,2019-01-02 11:57:24,2019-01-02 11:57:25,1.300s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-02 11:57:25,2019-01-02 11:57:26,1.008s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""), 1)",Chrome 71.0.3578.98,,2019-01-02 11:57:26,2019-01-02 11:57:26,0.159s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-02 11:57:26,2019-01-02 11:57:27,1.004s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""))",Chrome 71.0.3578.98,,2019-01-02 11:57:27,2019-01-02 11:57:28,0.279s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-02 11:57:28,2019-01-02 11:57:30,2.005s,PASSED
closeWindowIndex(1),Chrome 71.0.3578.98,,2019-01-02 11:57:30,2019-01-02 11:57:30,0.112s,PASSED
switchToWindowIndex(0),Chrome 71.0.3578.98,,2019-01-02 11:57:30,2019-01-02 11:57:30,0.030s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-02 11:57:30,2019-01-02 11:57:30,0.064s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-02 11:57:30,2019-01-02 11:57:31,1.002s,PASSED
"for ([loop = 1, loop <= 159, (loop++)])",Chrome 71.0.3578.98,,2019-01-02 11:57:31,2019-01-02 12:11:51,14m - 20.417s,PASSED
