Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_PSG,Chrome 71.0.3578.98,,2019-01-02 14:25:23,2019-01-02 14:40:27,15m - 3.663s,PASSED
,,,,,,
Test Cases/STAGING/Backoffice/create_match/create_match_15_users/create_match_loop_with_open_match_user11,Chrome 71.0.3578.98,,2019-01-02 14:25:23,2019-01-02 14:40:26,15m - 2.235s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-02 14:25:25,2019-01-02 14:25:29,3.854s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-02 14:25:29,2019-01-02 14:25:30,1.258s,PASSED
"navigateToUrl(""http://staging-admin.ucf88.com/login"")",Chrome 71.0.3578.98,,2019-01-02 14:25:30,2019-01-02 14:25:35,4.205s,PASSED
"setText(findTestObject(""Backoffice/login_page/input_username""), ""admin11"")",Chrome 71.0.3578.98,,2019-01-02 14:25:35,2019-01-02 14:25:35,0.569s,PASSED
"setEncryptedText(findTestObject(""Backoffice/login_page/input_password""), ""CSt51UwWECc="")",Chrome 71.0.3578.98,,2019-01-02 14:25:35,2019-01-02 14:25:36,0.387s,PASSED
"click(findTestObject(""Backoffice/login_page/button_login""))",Chrome 71.0.3578.98,,2019-01-02 14:25:36,2019-01-02 14:25:37,1.905s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 71.0.3578.98,,2019-01-02 14:25:37,2019-01-02 14:25:38,0.062s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-02 14:25:38,2019-01-02 14:25:39,1.024s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 71.0.3578.98,,2019-01-02 14:25:39,2019-01-02 14:25:39,0.252s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 71.0.3578.98,,2019-01-02 14:25:39,2019-01-02 14:25:41,1.936s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-02 14:25:41,2019-01-02 14:25:42,1.003s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-02 14:25:42,2019-01-02 14:25:42,0.075s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 71.0.3578.98,,2019-01-02 14:25:42,2019-01-02 14:25:42,0.249s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-02 14:25:42,2019-01-02 14:25:43,1.002s,PASSED
