Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_SRC,Chrome 71.0.3578.98,,2019-01-02 14:25:23,2019-01-02 14:40:40,15m - 17.075s,PASSED
,,,,,,
Test Cases/STAGING/Backoffice/create_match/create_match_15_users/create_match_loop_with_open_match_user15,Chrome 71.0.3578.98,,2019-01-02 14:25:24,2019-01-02 14:40:39,15m - 15.665s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-02 14:25:25,2019-01-02 14:25:30,4.519s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-02 14:25:30,2019-01-02 14:25:31,1.179s,PASSED
"navigateToUrl(""http://staging-admin.ucf88.com/login"")",Chrome 71.0.3578.98,,2019-01-02 14:25:31,2019-01-02 14:25:35,4.520s,PASSED
"setText(findTestObject(""Backoffice/login_page/input_username""), ""admin15"")",Chrome 71.0.3578.98,,2019-01-02 14:25:35,2019-01-02 14:25:36,0.236s,PASSED
"setEncryptedText(findTestObject(""Backoffice/login_page/input_password""), ""CSt51UwWECc="")",Chrome 71.0.3578.98,,2019-01-02 14:25:36,2019-01-02 14:25:36,0.176s,PASSED
"click(findTestObject(""Backoffice/login_page/button_login""))",Chrome 71.0.3578.98,,2019-01-02 14:25:36,2019-01-02 14:25:39,3.152s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 71.0.3578.98,,2019-01-02 14:25:39,2019-01-02 14:25:39,0.170s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-02 14:25:39,2019-01-02 14:25:40,1.053s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 71.0.3578.98,,2019-01-02 14:25:40,2019-01-02 14:25:40,0.151s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 71.0.3578.98,,2019-01-02 14:25:40,2019-01-02 14:25:42,1.360s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-02 14:25:42,2019-01-02 14:25:43,1.062s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-02 14:25:43,2019-01-02 14:25:43,0.048s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 71.0.3578.98,,2019-01-02 14:25:43,2019-01-02 14:25:43,0.065s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-02 14:25:43,2019-01-02 14:25:44,1.002s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 71.0.3578.98,,2019-01-02 14:25:44,2019-01-02 14:25:44,0.164s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 71.0.3578.98,,2019-01-02 14:25:44,2019-01-02 14:25:45,0.681s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-01-02 14:25:45,2019-01-02 14:25:45,0.077s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 71.0.3578.98,,2019-01-02 14:25:45,2019-01-02 14:25:45,0.162s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_weight""), Meron_Weight)",Chrome 71.0.3578.98,,2019-01-02 14:25:45,2019-01-02 14:25:45,0.183s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_name""), Wala_Name)",Chrome 71.0.3578.98,,2019-01-02 14:25:45,2019-01-02 14:25:45,0.123s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_weight""), Wala_Weight)",Chrome 71.0.3578.98,,2019-01-02 14:25:45,2019-01-02 14:25:45,0.162s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/input_submit_match""))",Chrome 71.0.3578.98,,2019-01-02 14:25:45,2019-01-02 14:25:47,1.379s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_link_match""))",Chrome 71.0.3578.98,,2019-01-02 14:25:47,2019-01-02 14:25:47,0.322s,PASSED
switchToWindowIndex(1),Chrome 71.0.3578.98,,2019-01-02 14:25:47,2019-01-02 14:25:47,0.039s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-02 14:25:47,2019-01-02 14:25:48,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/open_match/button_open_match""))",Chrome 71.0.3578.98,,2019-01-02 14:25:48,2019-01-02 14:25:50,1.319s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-02 14:25:50,2019-01-02 14:25:51,1.021s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""), 1)",Chrome 71.0.3578.98,,2019-01-02 14:25:51,2019-01-02 14:25:51,0.132s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-02 14:25:51,2019-01-02 14:25:52,1.004s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""))",Chrome 71.0.3578.98,,2019-01-02 14:25:52,2019-01-02 14:25:52,0.227s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-02 14:25:52,2019-01-02 14:25:54,2.004s,PASSED
closeWindowIndex(1),Chrome 71.0.3578.98,,2019-01-02 14:25:54,2019-01-02 14:25:54,0.115s,PASSED
switchToWindowIndex(0),Chrome 71.0.3578.98,,2019-01-02 14:25:54,2019-01-02 14:25:54,0.044s,PASSED
