Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_ASC,Chrome 71.0.3578.98,,2019-01-08 10:20:04,2019-01-08 10:26:57,6m - 52.572s,PASSED
,,,,,,
Test Cases/DEV/Backoffice/create_match/create_match_loop_with_open_match,Chrome 71.0.3578.98,,2019-01-08 10:20:05,2019-01-08 10:26:56,6m - 51.211s,PASSED
mj.loginBackofficeDev.login(),Chrome 71.0.3578.98,,2019-01-08 10:20:06,2019-01-08 10:20:16,9.931s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 71.0.3578.98,,2019-01-08 10:20:16,2019-01-08 10:20:16,0.341s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 10:20:16,2019-01-08 10:20:17,1.062s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 71.0.3578.98,,2019-01-08 10:20:17,2019-01-08 10:20:17,0.145s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 71.0.3578.98,,2019-01-08 10:20:17,2019-01-08 10:20:19,2.239s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 10:20:19,2019-01-08 10:20:20,1.004s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-08 10:20:20,2019-01-08 10:20:21,0.087s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 71.0.3578.98,,2019-01-08 10:20:21,2019-01-08 10:20:21,0.220s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 10:20:21,2019-01-08 10:20:22,1.004s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 71.0.3578.98,,2019-01-08 10:20:22,2019-01-08 10:20:22,0.310s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 71.0.3578.98,,2019-01-08 10:20:22,2019-01-08 10:20:24,1.388s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-01-08 10:20:24,2019-01-08 10:20:24,0.164s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 71.0.3578.98,,2019-01-08 10:20:24,2019-01-08 10:20:24,0.337s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_weight""), Meron_Weight)",Chrome 71.0.3578.98,,2019-01-08 10:20:24,2019-01-08 10:20:24,0.397s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_name""), Wala_Name)",Chrome 71.0.3578.98,,2019-01-08 10:20:24,2019-01-08 10:20:25,0.304s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_weight""), Wala_Weight)",Chrome 71.0.3578.98,,2019-01-08 10:20:25,2019-01-08 10:20:25,0.440s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/input_submit_match""))",Chrome 71.0.3578.98,,2019-01-08 10:20:25,2019-01-08 10:20:27,2.304s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_link_match""))",Chrome 71.0.3578.98,,2019-01-08 10:20:27,2019-01-08 10:20:28,0.313s,PASSED
switchToWindowIndex(1),Chrome 71.0.3578.98,,2019-01-08 10:20:28,2019-01-08 10:20:28,0.094s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 10:20:28,2019-01-08 10:20:29,1.002s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/open_match/button_open_match""))",Chrome 71.0.3578.98,,2019-01-08 10:20:29,2019-01-08 10:20:30,1.255s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 10:20:30,2019-01-08 10:20:31,1.003s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""), 1)",Chrome 71.0.3578.98,,2019-01-08 10:20:31,2019-01-08 10:20:31,0.093s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 10:20:31,2019-01-08 10:20:32,1.004s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""))",Chrome 71.0.3578.98,,2019-01-08 10:20:32,2019-01-08 10:20:32,0.179s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-08 10:20:32,2019-01-08 10:20:34,2.003s,PASSED
closeWindowIndex(1),Chrome 71.0.3578.98,,2019-01-08 10:20:34,2019-01-08 10:20:35,0.138s,PASSED
switchToWindowIndex(0),Chrome 71.0.3578.98,,2019-01-08 10:20:35,2019-01-08 10:20:35,0.019s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-08 10:20:35,2019-01-08 10:20:35,0.067s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 10:20:35,2019-01-08 10:20:36,1.003s,PASSED
"for ([loop = 1, loop <= 49, (loop++)])",Chrome 71.0.3578.98,,2019-01-08 10:20:36,2019-01-08 10:26:56,6m - 20.509s,PASSED
