Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_BCA,Chrome 71.0.3578.98,,2019-01-09 08:06:51,2019-01-09 08:13:34,6m - 42.873s,PASSED
,,,,,,
Test Cases/DEV/Backoffice/create_match/create_match_loop_with_open_match,Chrome 71.0.3578.98,,2019-01-09 08:06:51,2019-01-09 08:13:33,6m - 41.492s,PASSED
mj.loginBackofficeDev.login(),Chrome 71.0.3578.98,,2019-01-09 08:06:52,2019-01-09 08:07:03,10.189s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 71.0.3578.98,,2019-01-09 08:07:03,2019-01-09 08:07:03,0.312s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:07:03,2019-01-09 08:07:04,1.036s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 71.0.3578.98,,2019-01-09 08:07:04,2019-01-09 08:07:04,0.138s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 71.0.3578.98,,2019-01-09 08:07:04,2019-01-09 08:07:06,2.259s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:07:06,2019-01-09 08:07:07,1.004s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-09 08:07:07,2019-01-09 08:07:07,0.053s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 71.0.3578.98,,2019-01-09 08:07:07,2019-01-09 08:07:08,0.166s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:07:08,2019-01-09 08:07:09,1.004s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 71.0.3578.98,,2019-01-09 08:07:09,2019-01-09 08:07:09,0.302s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 71.0.3578.98,,2019-01-09 08:07:09,2019-01-09 08:07:10,1.109s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-01-09 08:07:10,2019-01-09 08:07:10,0.151s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 71.0.3578.98,,2019-01-09 08:07:10,2019-01-09 08:07:10,0.294s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_weight""), Meron_Weight)",Chrome 71.0.3578.98,,2019-01-09 08:07:10,2019-01-09 08:07:11,0.450s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_name""), Wala_Name)",Chrome 71.0.3578.98,,2019-01-09 08:07:11,2019-01-09 08:07:11,0.277s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_weight""), Wala_Weight)",Chrome 71.0.3578.98,,2019-01-09 08:07:11,2019-01-09 08:07:12,0.471s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/input_submit_match""))",Chrome 71.0.3578.98,,2019-01-09 08:07:12,2019-01-09 08:07:14,2.271s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_link_match""))",Chrome 71.0.3578.98,,2019-01-09 08:07:14,2019-01-09 08:07:14,0.372s,PASSED
switchToWindowIndex(1),Chrome 71.0.3578.98,,2019-01-09 08:07:14,2019-01-09 08:07:14,0.052s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:07:14,2019-01-09 08:07:15,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/open_match/button_open_match""))",Chrome 71.0.3578.98,,2019-01-09 08:07:15,2019-01-09 08:07:17,1.245s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:07:17,2019-01-09 08:07:18,1.004s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""), 1)",Chrome 71.0.3578.98,,2019-01-09 08:07:18,2019-01-09 08:07:18,0.098s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:07:18,2019-01-09 08:07:19,1.005s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""))",Chrome 71.0.3578.98,,2019-01-09 08:07:19,2019-01-09 08:07:19,0.183s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-09 08:07:19,2019-01-09 08:07:21,2.004s,PASSED
closeWindowIndex(1),Chrome 71.0.3578.98,,2019-01-09 08:07:21,2019-01-09 08:07:21,0.111s,PASSED
switchToWindowIndex(0),Chrome 71.0.3578.98,,2019-01-09 08:07:21,2019-01-09 08:07:21,0.052s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-09 08:07:21,2019-01-09 08:07:21,0.073s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:07:21,2019-01-09 08:07:22,1.004s,PASSED
"for ([loop = 1, loop <= 49, (loop++)])",Chrome 71.0.3578.98,,2019-01-09 08:07:22,2019-01-09 08:13:33,6m - 10.827s,PASSED
