Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_CCAC,Chrome 71.0.3578.98,,2019-01-09 08:13:38,2019-01-09 08:20:54,7m - 15.674s,PASSED
,,,,,,
Test Cases/DEV/Backoffice/create_match/create_match_loop_with_open_match,Chrome 71.0.3578.98,,2019-01-09 08:13:39,2019-01-09 08:20:53,7m - 14.317s,PASSED
mj.loginBackofficeDev.login(),Chrome 71.0.3578.98,,2019-01-09 08:13:40,2019-01-09 08:13:49,9.717s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 71.0.3578.98,,2019-01-09 08:13:49,2019-01-09 08:13:50,0.343s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:13:50,2019-01-09 08:13:51,1.067s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 71.0.3578.98,,2019-01-09 08:13:51,2019-01-09 08:13:51,0.140s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 71.0.3578.98,,2019-01-09 08:13:51,2019-01-09 08:13:53,2.326s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:13:53,2019-01-09 08:13:54,1.007s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-09 08:13:54,2019-01-09 08:13:54,0.086s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 71.0.3578.98,,2019-01-09 08:13:54,2019-01-09 08:13:55,0.190s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:13:55,2019-01-09 08:13:56,1.002s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 71.0.3578.98,,2019-01-09 08:13:56,2019-01-09 08:13:56,0.268s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 71.0.3578.98,,2019-01-09 08:13:56,2019-01-09 08:13:58,1.781s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-01-09 08:13:58,2019-01-09 08:13:58,0.156s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 71.0.3578.98,,2019-01-09 08:13:58,2019-01-09 08:13:58,0.329s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_weight""), Meron_Weight)",Chrome 71.0.3578.98,,2019-01-09 08:13:58,2019-01-09 08:13:59,0.463s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_name""), Wala_Name)",Chrome 71.0.3578.98,,2019-01-09 08:13:59,2019-01-09 08:13:59,0.318s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_weight""), Wala_Weight)",Chrome 71.0.3578.98,,2019-01-09 08:13:59,2019-01-09 08:13:59,0.473s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/input_submit_match""))",Chrome 71.0.3578.98,,2019-01-09 08:13:59,2019-01-09 08:14:02,2.305s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_link_match""))",Chrome 71.0.3578.98,,2019-01-09 08:14:02,2019-01-09 08:14:02,0.302s,PASSED
switchToWindowIndex(1),Chrome 71.0.3578.98,,2019-01-09 08:14:02,2019-01-09 08:14:02,0.049s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:14:02,2019-01-09 08:14:03,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/open_match/button_open_match""))",Chrome 71.0.3578.98,,2019-01-09 08:14:03,2019-01-09 08:14:04,1.253s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:14:04,2019-01-09 08:14:05,1.003s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""), 1)",Chrome 71.0.3578.98,,2019-01-09 08:14:05,2019-01-09 08:14:05,0.100s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:14:05,2019-01-09 08:14:06,1.005s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""))",Chrome 71.0.3578.98,,2019-01-09 08:14:06,2019-01-09 08:14:07,0.190s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-09 08:14:07,2019-01-09 08:14:09,2.004s,PASSED
closeWindowIndex(1),Chrome 71.0.3578.98,,2019-01-09 08:14:09,2019-01-09 08:14:09,0.149s,PASSED
switchToWindowIndex(0),Chrome 71.0.3578.98,,2019-01-09 08:14:09,2019-01-09 08:14:09,0.036s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-09 08:14:09,2019-01-09 08:14:09,0.047s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:14:09,2019-01-09 08:14:10,1.004s,PASSED
"for ([loop = 1, loop <= 49, (loop++)])",Chrome 71.0.3578.98,,2019-01-09 08:14:10,2019-01-09 08:20:53,6m - 43.408s,PASSED
