Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_JCSC,Chrome 71.0.3578.98,,2019-01-09 08:34:29,2019-01-09 08:41:15,6m - 46.743s,PASSED
,,,,,,
Test Cases/DEV/Backoffice/create_match/create_match_loop_with_open_match,Chrome 71.0.3578.98,,2019-01-09 08:34:29,2019-01-09 08:41:15,6m - 45.354s,PASSED
mj.loginBackofficeDev.login(),Chrome 71.0.3578.98,,2019-01-09 08:34:30,2019-01-09 08:34:40,9.888s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 71.0.3578.98,,2019-01-09 08:34:40,2019-01-09 08:34:41,0.414s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:34:41,2019-01-09 08:34:42,1.071s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 71.0.3578.98,,2019-01-09 08:34:42,2019-01-09 08:34:42,0.137s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 71.0.3578.98,,2019-01-09 08:34:42,2019-01-09 08:34:44,2.187s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:34:44,2019-01-09 08:34:45,1.004s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-09 08:34:45,2019-01-09 08:34:45,0.064s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 71.0.3578.98,,2019-01-09 08:34:45,2019-01-09 08:34:45,0.160s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:34:45,2019-01-09 08:34:46,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 71.0.3578.98,,2019-01-09 08:34:46,2019-01-09 08:34:46,0.207s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 71.0.3578.98,,2019-01-09 08:34:46,2019-01-09 08:34:48,1.366s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-01-09 08:34:48,2019-01-09 08:34:48,0.168s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 71.0.3578.98,,2019-01-09 08:34:48,2019-01-09 08:34:48,0.310s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_weight""), Meron_Weight)",Chrome 71.0.3578.98,,2019-01-09 08:34:48,2019-01-09 08:34:49,0.389s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_name""), Wala_Name)",Chrome 71.0.3578.98,,2019-01-09 08:34:49,2019-01-09 08:34:49,0.330s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_weight""), Wala_Weight)",Chrome 71.0.3578.98,,2019-01-09 08:34:49,2019-01-09 08:34:49,0.382s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/input_submit_match""))",Chrome 71.0.3578.98,,2019-01-09 08:34:49,2019-01-09 08:34:52,2.262s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_link_match""))",Chrome 71.0.3578.98,,2019-01-09 08:34:52,2019-01-09 08:34:52,0.303s,PASSED
switchToWindowIndex(1),Chrome 71.0.3578.98,,2019-01-09 08:34:52,2019-01-09 08:34:52,0.063s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:34:52,2019-01-09 08:34:53,1.004s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/open_match/button_open_match""))",Chrome 71.0.3578.98,,2019-01-09 08:34:53,2019-01-09 08:34:54,1.268s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:34:54,2019-01-09 08:34:55,1.003s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""), 1)",Chrome 71.0.3578.98,,2019-01-09 08:34:55,2019-01-09 08:34:55,0.097s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:34:55,2019-01-09 08:34:56,1.004s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""))",Chrome 71.0.3578.98,,2019-01-09 08:34:56,2019-01-09 08:34:56,0.197s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-09 08:34:56,2019-01-09 08:34:59,2.004s,PASSED
closeWindowIndex(1),Chrome 71.0.3578.98,,2019-01-09 08:34:59,2019-01-09 08:34:59,0.149s,PASSED
switchToWindowIndex(0),Chrome 71.0.3578.98,,2019-01-09 08:34:59,2019-01-09 08:34:59,0.038s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-09 08:34:59,2019-01-09 08:34:59,0.055s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-09 08:34:59,2019-01-09 08:35:00,1.002s,PASSED
"for ([loop = 1, loop <= 49, (loop++)])",Chrome 71.0.3578.98,,2019-01-09 08:35:00,2019-01-09 08:41:15,6m - 14.837s,PASSED
