Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_MC,Chrome 71.0.3578.98,,2019-01-10 10:48:38,2019-01-10 10:55:32,6m - 53.447s,PASSED
,,,,,,
Test Cases/DEV/Backoffice/create_match/create_match_loop_with_open_match,Chrome 71.0.3578.98,,2019-01-10 10:48:39,2019-01-10 10:55:31,6m - 52.198s,PASSED
mj.loginBackofficeDev.login(),Chrome 71.0.3578.98,,2019-01-10 10:48:40,2019-01-10 10:48:49,9.462s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 71.0.3578.98,,2019-01-10 10:48:49,2019-01-10 10:48:50,0.381s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 10:48:50,2019-01-10 10:48:51,1.057s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 71.0.3578.98,,2019-01-10 10:48:51,2019-01-10 10:48:51,0.137s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 71.0.3578.98,,2019-01-10 10:48:51,2019-01-10 10:48:53,2.592s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 10:48:53,2019-01-10 10:48:54,1.005s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-10 10:48:54,2019-01-10 10:48:55,0.093s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 71.0.3578.98,,2019-01-10 10:48:55,2019-01-10 10:48:55,0.180s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 10:48:55,2019-01-10 10:48:56,1.004s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 71.0.3578.98,,2019-01-10 10:48:56,2019-01-10 10:48:56,0.227s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 71.0.3578.98,,2019-01-10 10:48:56,2019-01-10 10:48:57,0.905s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-01-10 10:48:57,2019-01-10 10:48:57,0.167s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 71.0.3578.98,,2019-01-10 10:48:57,2019-01-10 10:48:57,0.298s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_weight""), Meron_Weight)",Chrome 71.0.3578.98,,2019-01-10 10:48:57,2019-01-10 10:48:58,0.495s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_name""), Wala_Name)",Chrome 71.0.3578.98,,2019-01-10 10:48:58,2019-01-10 10:48:58,0.322s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_weight""), Wala_Weight)",Chrome 71.0.3578.98,,2019-01-10 10:48:58,2019-01-10 10:48:59,0.482s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/input_submit_match""))",Chrome 71.0.3578.98,,2019-01-10 10:48:59,2019-01-10 10:49:02,3.039s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_link_match""))",Chrome 71.0.3578.98,,2019-01-10 10:49:02,2019-01-10 10:49:02,0.504s,PASSED
switchToWindowIndex(1),Chrome 71.0.3578.98,,2019-01-10 10:49:02,2019-01-10 10:49:02,0.072s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 10:49:02,2019-01-10 10:49:03,1.005s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/open_match/button_open_match""))",Chrome 71.0.3578.98,,2019-01-10 10:49:03,2019-01-10 10:49:05,1.255s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 10:49:05,2019-01-10 10:49:06,1.004s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""), 1)",Chrome 71.0.3578.98,,2019-01-10 10:49:06,2019-01-10 10:49:06,0.095s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 10:49:06,2019-01-10 10:49:07,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""))",Chrome 71.0.3578.98,,2019-01-10 10:49:07,2019-01-10 10:49:07,0.187s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-10 10:49:07,2019-01-10 10:49:09,2.004s,PASSED
closeWindowIndex(1),Chrome 71.0.3578.98,,2019-01-10 10:49:09,2019-01-10 10:49:09,0.095s,PASSED
switchToWindowIndex(0),Chrome 71.0.3578.98,,2019-01-10 10:49:09,2019-01-10 10:49:09,0.041s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-10 10:49:09,2019-01-10 10:49:09,0.090s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 10:49:09,2019-01-10 10:49:10,1.004s,PASSED
"for ([loop = 1, loop <= 49, (loop++)])",Chrome 71.0.3578.98,,2019-01-10 10:49:10,2019-01-10 10:55:31,6m - 21.055s,PASSED
