Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_PSG,Chrome 71.0.3578.98,,2019-01-08 11:19:53,2019-01-08 11:26:35,6m - 41.885s,PASSED
,,,,,,
Test Cases/DEV/Backoffice/create_match/create_match_loop_with_open_match,Chrome 71.0.3578.98,,2019-01-08 11:19:54,2019-01-08 11:26:34,6m - 40.610s,PASSED
mj.loginBackofficeDev.login(),Chrome 71.0.3578.98,,2019-01-08 11:19:55,2019-01-08 11:20:05,9.944s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 71.0.3578.98,,2019-01-08 11:20:05,2019-01-08 11:20:05,0.326s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 11:20:05,2019-01-08 11:20:06,1.046s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 71.0.3578.98,,2019-01-08 11:20:06,2019-01-08 11:20:06,0.129s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 71.0.3578.98,,2019-01-08 11:20:06,2019-01-08 11:20:09,2.500s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 11:20:09,2019-01-08 11:20:10,1.002s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-08 11:20:10,2019-01-08 11:20:10,0.050s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 71.0.3578.98,,2019-01-08 11:20:10,2019-01-08 11:20:10,0.164s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 11:20:10,2019-01-08 11:20:11,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 71.0.3578.98,,2019-01-08 11:20:11,2019-01-08 11:20:11,0.140s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 71.0.3578.98,,2019-01-08 11:20:11,2019-01-08 11:20:12,1.213s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-01-08 11:20:12,2019-01-08 11:20:12,0.167s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 71.0.3578.98,,2019-01-08 11:20:12,2019-01-08 11:20:13,0.256s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_weight""), Meron_Weight)",Chrome 71.0.3578.98,,2019-01-08 11:20:13,2019-01-08 11:20:13,0.480s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_name""), Wala_Name)",Chrome 71.0.3578.98,,2019-01-08 11:20:13,2019-01-08 11:20:13,0.337s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_weight""), Wala_Weight)",Chrome 71.0.3578.98,,2019-01-08 11:20:13,2019-01-08 11:20:14,0.354s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/input_submit_match""))",Chrome 71.0.3578.98,,2019-01-08 11:20:14,2019-01-08 11:20:16,2.313s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_link_match""))",Chrome 71.0.3578.98,,2019-01-08 11:20:16,2019-01-08 11:20:16,0.407s,PASSED
switchToWindowIndex(1),Chrome 71.0.3578.98,,2019-01-08 11:20:16,2019-01-08 11:20:17,0.078s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 11:20:17,2019-01-08 11:20:18,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/open_match/button_open_match""))",Chrome 71.0.3578.98,,2019-01-08 11:20:18,2019-01-08 11:20:19,1.255s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 11:20:19,2019-01-08 11:20:20,1.003s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""), 1)",Chrome 71.0.3578.98,,2019-01-08 11:20:20,2019-01-08 11:20:20,0.096s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 11:20:20,2019-01-08 11:20:21,1.004s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""))",Chrome 71.0.3578.98,,2019-01-08 11:20:21,2019-01-08 11:20:21,0.183s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-08 11:20:21,2019-01-08 11:20:23,2.004s,PASSED
closeWindowIndex(1),Chrome 71.0.3578.98,,2019-01-08 11:20:23,2019-01-08 11:20:23,0.100s,PASSED
switchToWindowIndex(0),Chrome 71.0.3578.98,,2019-01-08 11:20:23,2019-01-08 11:20:23,0.046s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-08 11:20:23,2019-01-08 11:20:23,0.046s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 11:20:23,2019-01-08 11:20:24,1.004s,PASSED
"for ([loop = 1, loop <= 49, (loop++)])",Chrome 71.0.3578.98,,2019-01-08 11:20:24,2019-01-08 11:26:34,6m - 10.152s,PASSED
