Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_RMC,Chrome 71.0.3578.98,,2019-01-10 11:09:56,2019-01-10 11:17:00,7m - 3.534s,PASSED
,,,,,,
Test Cases/DEV/Backoffice/create_match/create_match_loop_with_open_match,Chrome 71.0.3578.98,,2019-01-10 11:09:57,2019-01-10 11:16:59,7m - 2.215s,PASSED
mj.loginBackofficeDev.login(),Chrome 71.0.3578.98,,2019-01-10 11:09:58,2019-01-10 11:10:07,9.050s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 71.0.3578.98,,2019-01-10 11:10:07,2019-01-10 11:10:07,0.265s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:10:07,2019-01-10 11:10:08,1.037s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 71.0.3578.98,,2019-01-10 11:10:08,2019-01-10 11:10:08,0.131s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 71.0.3578.98,,2019-01-10 11:10:08,2019-01-10 11:10:11,2.789s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:10:11,2019-01-10 11:10:12,1.003s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-10 11:10:12,2019-01-10 11:10:12,0.075s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 71.0.3578.98,,2019-01-10 11:10:12,2019-01-10 11:10:12,0.188s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:10:12,2019-01-10 11:10:13,1.004s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 71.0.3578.98,,2019-01-10 11:10:13,2019-01-10 11:10:13,0.273s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 71.0.3578.98,,2019-01-10 11:10:13,2019-01-10 11:10:14,1.021s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-01-10 11:10:14,2019-01-10 11:10:15,0.165s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 71.0.3578.98,,2019-01-10 11:10:15,2019-01-10 11:10:15,0.305s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_weight""), Meron_Weight)",Chrome 71.0.3578.98,,2019-01-10 11:10:15,2019-01-10 11:10:15,0.371s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_name""), Wala_Name)",Chrome 71.0.3578.98,,2019-01-10 11:10:15,2019-01-10 11:10:16,0.296s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_weight""), Wala_Weight)",Chrome 71.0.3578.98,,2019-01-10 11:10:16,2019-01-10 11:10:16,0.412s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/input_submit_match""))",Chrome 71.0.3578.98,,2019-01-10 11:10:16,2019-01-10 11:10:19,3.272s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_link_match""))",Chrome 71.0.3578.98,,2019-01-10 11:10:19,2019-01-10 11:10:20,0.439s,PASSED
switchToWindowIndex(1),Chrome 71.0.3578.98,,2019-01-10 11:10:20,2019-01-10 11:10:20,0.047s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:10:20,2019-01-10 11:10:21,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/open_match/button_open_match""))",Chrome 71.0.3578.98,,2019-01-10 11:10:21,2019-01-10 11:10:22,1.248s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:10:22,2019-01-10 11:10:23,1.003s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""), 1)",Chrome 71.0.3578.98,,2019-01-10 11:10:23,2019-01-10 11:10:23,0.103s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:10:23,2019-01-10 11:10:24,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""))",Chrome 71.0.3578.98,,2019-01-10 11:10:24,2019-01-10 11:10:24,0.175s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-10 11:10:24,2019-01-10 11:10:26,2.004s,PASSED
closeWindowIndex(1),Chrome 71.0.3578.98,,2019-01-10 11:10:26,2019-01-10 11:10:26,0.096s,PASSED
switchToWindowIndex(0),Chrome 71.0.3578.98,,2019-01-10 11:10:26,2019-01-10 11:10:26,0.032s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-10 11:10:26,2019-01-10 11:10:26,0.053s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:10:26,2019-01-10 11:10:27,1.004s,PASSED
"for ([loop = 1, loop <= 49, (loop++)])",Chrome 71.0.3578.98,,2019-01-10 11:10:27,2019-01-10 11:16:59,6m - 31.399s,PASSED
