Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_SJC,Chrome 71.0.3578.98,,2019-01-10 11:17:05,2019-01-10 11:24:04,6m - 59.843s,PASSED
,,,,,,
Test Cases/DEV/Backoffice/create_match/create_match_loop_with_open_match,Chrome 71.0.3578.98,,2019-01-10 11:17:05,2019-01-10 11:24:04,6m - 58.516s,PASSED
mj.loginBackofficeDev.login(),Chrome 71.0.3578.98,,2019-01-10 11:17:06,2019-01-10 11:17:15,9.599s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 71.0.3578.98,,2019-01-10 11:17:15,2019-01-10 11:17:16,0.385s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:17:16,2019-01-10 11:17:17,1.062s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 71.0.3578.98,,2019-01-10 11:17:17,2019-01-10 11:17:17,0.137s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 71.0.3578.98,,2019-01-10 11:17:17,2019-01-10 11:17:20,2.970s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:17:20,2019-01-10 11:17:21,1.008s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-10 11:17:21,2019-01-10 11:17:21,0.081s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 71.0.3578.98,,2019-01-10 11:17:21,2019-01-10 11:17:21,0.218s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:17:21,2019-01-10 11:17:22,1.004s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 71.0.3578.98,,2019-01-10 11:17:22,2019-01-10 11:17:23,0.312s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 71.0.3578.98,,2019-01-10 11:17:23,2019-01-10 11:17:24,1.176s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-01-10 11:17:24,2019-01-10 11:17:24,0.182s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 71.0.3578.98,,2019-01-10 11:17:24,2019-01-10 11:17:24,0.324s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_weight""), Meron_Weight)",Chrome 71.0.3578.98,,2019-01-10 11:17:24,2019-01-10 11:17:25,0.471s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_name""), Wala_Name)",Chrome 71.0.3578.98,,2019-01-10 11:17:25,2019-01-10 11:17:25,0.331s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_weight""), Wala_Weight)",Chrome 71.0.3578.98,,2019-01-10 11:17:25,2019-01-10 11:17:26,0.499s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/input_submit_match""))",Chrome 71.0.3578.98,,2019-01-10 11:17:26,2019-01-10 11:17:29,3.200s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_link_match""))",Chrome 71.0.3578.98,,2019-01-10 11:17:29,2019-01-10 11:17:29,0.431s,PASSED
switchToWindowIndex(1),Chrome 71.0.3578.98,,2019-01-10 11:17:29,2019-01-10 11:17:29,0.049s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:17:29,2019-01-10 11:17:30,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/open_match/button_open_match""))",Chrome 71.0.3578.98,,2019-01-10 11:17:30,2019-01-10 11:17:32,1.251s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:17:32,2019-01-10 11:17:33,1.004s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""), 1)",Chrome 71.0.3578.98,,2019-01-10 11:17:33,2019-01-10 11:17:33,0.096s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:17:33,2019-01-10 11:17:34,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""))",Chrome 71.0.3578.98,,2019-01-10 11:17:34,2019-01-10 11:17:34,0.180s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-10 11:17:34,2019-01-10 11:17:36,2.003s,PASSED
closeWindowIndex(1),Chrome 71.0.3578.98,,2019-01-10 11:17:36,2019-01-10 11:17:36,0.105s,PASSED
switchToWindowIndex(0),Chrome 71.0.3578.98,,2019-01-10 11:17:36,2019-01-10 11:17:36,0.042s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-10 11:17:36,2019-01-10 11:17:36,0.089s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:17:36,2019-01-10 11:17:37,1.003s,PASSED
"for ([loop = 1, loop <= 49, (loop++)])",Chrome 71.0.3578.98,,2019-01-10 11:17:37,2019-01-10 11:24:04,6m - 26.502s,PASSED
