Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_SMC,Chrome 71.0.3578.98,,2019-01-08 11:40:13,2019-01-08 11:46:57,6m - 43.883s,PASSED
,,,,,,
Test Cases/DEV/Backoffice/create_match/create_match_loop_with_open_match,Chrome 71.0.3578.98,,2019-01-08 11:40:14,2019-01-08 11:46:56,6m - 42.534s,PASSED
mj.loginBackofficeDev.login(),Chrome 71.0.3578.98,,2019-01-08 11:40:15,2019-01-08 11:40:24,9.045s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 71.0.3578.98,,2019-01-08 11:40:24,2019-01-08 11:40:24,0.392s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 11:40:24,2019-01-08 11:40:25,1.034s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 71.0.3578.98,,2019-01-08 11:40:25,2019-01-08 11:40:25,0.099s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 71.0.3578.98,,2019-01-08 11:40:25,2019-01-08 11:40:27,2.122s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 11:40:27,2019-01-08 11:40:28,1.004s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-08 11:40:28,2019-01-08 11:40:28,0.081s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 71.0.3578.98,,2019-01-08 11:40:28,2019-01-08 11:40:29,0.224s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 11:40:29,2019-01-08 11:40:30,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 71.0.3578.98,,2019-01-08 11:40:30,2019-01-08 11:40:30,0.292s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 71.0.3578.98,,2019-01-08 11:40:30,2019-01-08 11:40:31,1.253s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-01-08 11:40:31,2019-01-08 11:40:31,0.160s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 71.0.3578.98,,2019-01-08 11:40:31,2019-01-08 11:40:32,0.345s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_weight""), Meron_Weight)",Chrome 71.0.3578.98,,2019-01-08 11:40:32,2019-01-08 11:40:32,0.487s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_name""), Wala_Name)",Chrome 71.0.3578.98,,2019-01-08 11:40:32,2019-01-08 11:40:33,0.328s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_weight""), Wala_Weight)",Chrome 71.0.3578.98,,2019-01-08 11:40:33,2019-01-08 11:40:33,0.464s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/input_submit_match""))",Chrome 71.0.3578.98,,2019-01-08 11:40:33,2019-01-08 11:40:35,2.275s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_link_match""))",Chrome 71.0.3578.98,,2019-01-08 11:40:35,2019-01-08 11:40:36,0.686s,PASSED
switchToWindowIndex(1),Chrome 71.0.3578.98,,2019-01-08 11:40:36,2019-01-08 11:40:36,0.056s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 11:40:36,2019-01-08 11:40:37,1.006s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/open_match/button_open_match""))",Chrome 71.0.3578.98,,2019-01-08 11:40:37,2019-01-08 11:40:38,1.253s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 11:40:38,2019-01-08 11:40:39,1.004s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""), 1)",Chrome 71.0.3578.98,,2019-01-08 11:40:39,2019-01-08 11:40:39,0.102s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 11:40:39,2019-01-08 11:40:40,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""))",Chrome 71.0.3578.98,,2019-01-08 11:40:40,2019-01-08 11:40:41,0.184s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-08 11:40:41,2019-01-08 11:40:43,2.003s,PASSED
closeWindowIndex(1),Chrome 71.0.3578.98,,2019-01-08 11:40:43,2019-01-08 11:40:43,0.096s,PASSED
switchToWindowIndex(0),Chrome 71.0.3578.98,,2019-01-08 11:40:43,2019-01-08 11:40:43,0.049s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-08 11:40:43,2019-01-08 11:40:43,0.060s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-08 11:40:43,2019-01-08 11:40:44,1.003s,PASSED
"for ([loop = 1, loop <= 49, (loop++)])",Chrome 71.0.3578.98,,2019-01-08 11:40:44,2019-01-08 11:46:56,6m - 12.571s,PASSED
