Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_SRC,Chrome 71.0.3578.98,,2019-01-10 11:31:16,2019-01-10 11:33:29,2m - 12.491s,FAILED
,,,,,,
Test Cases/DEV/Backoffice/create_match/create_match_loop_with_open_match,Chrome 71.0.3578.98,,2019-01-10 11:31:17,2019-01-10 11:33:28,2m - 11.268s,FAILED
mj.loginBackofficeDev.login(),Chrome 71.0.3578.98,,2019-01-10 11:31:17,2019-01-10 11:31:27,9.757s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 71.0.3578.98,,2019-01-10 11:31:27,2019-01-10 11:31:28,0.352s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:31:28,2019-01-10 11:31:29,1.057s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 71.0.3578.98,,2019-01-10 11:31:29,2019-01-10 11:31:29,0.126s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 71.0.3578.98,,2019-01-10 11:31:29,2019-01-10 11:31:32,3.174s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:31:32,2019-01-10 11:31:33,1.005s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-10 11:31:33,2019-01-10 11:31:33,0.078s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 71.0.3578.98,,2019-01-10 11:31:33,2019-01-10 11:31:33,0.224s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:31:33,2019-01-10 11:31:34,1.004s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 71.0.3578.98,,2019-01-10 11:31:34,2019-01-10 11:31:35,0.282s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 71.0.3578.98,,2019-01-10 11:31:35,2019-01-10 11:31:36,1.680s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-01-10 11:31:36,2019-01-10 11:31:36,0.161s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 71.0.3578.98,,2019-01-10 11:31:36,2019-01-10 11:31:37,0.319s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_weight""), Meron_Weight)",Chrome 71.0.3578.98,,2019-01-10 11:31:37,2019-01-10 11:31:37,0.523s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_name""), Wala_Name)",Chrome 71.0.3578.98,,2019-01-10 11:31:37,2019-01-10 11:31:38,0.334s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_weight""), Wala_Weight)",Chrome 71.0.3578.98,,2019-01-10 11:31:38,2019-01-10 11:31:38,0.463s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/input_submit_match""))",Chrome 71.0.3578.98,,2019-01-10 11:31:38,2019-01-10 11:31:41,3.236s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_link_match""))",Chrome 71.0.3578.98,,2019-01-10 11:31:41,2019-01-10 11:31:42,0.291s,PASSED
switchToWindowIndex(1),Chrome 71.0.3578.98,,2019-01-10 11:31:42,2019-01-10 11:31:42,0.049s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:31:42,2019-01-10 11:31:43,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/open_match/button_open_match""))",Chrome 71.0.3578.98,,2019-01-10 11:31:43,2019-01-10 11:31:44,1.246s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:31:44,2019-01-10 11:31:45,1.004s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""), 1)",Chrome 71.0.3578.98,,2019-01-10 11:31:45,2019-01-10 11:31:45,0.096s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:31:45,2019-01-10 11:31:46,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""))",Chrome 71.0.3578.98,,2019-01-10 11:31:46,2019-01-10 11:31:46,0.188s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-10 11:31:46,2019-01-10 11:31:48,2.003s,PASSED
closeWindowIndex(1),Chrome 71.0.3578.98,,2019-01-10 11:31:48,2019-01-10 11:31:48,0.106s,PASSED
switchToWindowIndex(0),Chrome 71.0.3578.98,,2019-01-10 11:31:48,2019-01-10 11:31:48,0.033s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2019-01-10 11:31:48,2019-01-10 11:31:48,0.051s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-10 11:31:48,2019-01-10 11:31:49,1.004s,PASSED
"for ([loop = 1, loop <= 49, (loop++)])",Chrome 71.0.3578.98,,2019-01-10 11:31:49,2019-01-10 11:33:28,1m - 38.537s,FAILED
