Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_ATSC,Chrome 70.0.3538.110,,2018-12-10 08:46:42,2018-12-10 08:49:39,2m - 56.786s,PASSED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.110,,2018-12-10 08:46:43,2018-12-10 08:49:38,2m - 55.291s,PASSED
mj.loginBackoffice.login(),Chrome 70.0.3538.110,,2018-12-10 08:46:44,2018-12-10 08:46:53,9.154s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 70.0.3538.110,,2018-12-10 08:46:53,2018-12-10 08:46:53,0.255s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-10 08:46:53,2018-12-10 08:46:54,1.055s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 70.0.3538.110,,2018-12-10 08:46:54,2018-12-10 08:46:55,0.086s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 70.0.3538.110,,2018-12-10 08:46:55,2018-12-10 08:46:56,1.639s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-10 08:46:56,2018-12-10 08:46:57,1.007s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 70.0.3538.110,,2018-12-10 08:46:57,2018-12-10 08:46:57,0.091s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 70.0.3538.110,,2018-12-10 08:46:57,2018-12-10 08:46:57,0.170s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-10 08:46:57,2018-12-10 08:46:58,1.004s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 70.0.3538.110,,2018-12-10 08:46:58,2018-12-10 08:46:59,0.242s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 70.0.3538.110,,2018-12-10 08:46:59,2018-12-10 08:47:00,1.002s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 70.0.3538.110,,2018-12-10 08:47:00,2018-12-10 08:47:00,0.155s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 70.0.3538.110,,2018-12-10 08:47:00,2018-12-10 08:47:00,0.306s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_farm""), Meron_Farm)",Chrome 70.0.3538.110,,2018-12-10 08:47:00,2018-12-10 08:47:00,0.340s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_breed""), Meron_Breed)",Chrome 70.0.3538.110,,2018-12-10 08:47:00,2018-12-10 08:47:01,0.269s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_weight""), Meron_Weight)",Chrome 70.0.3538.110,,2018-12-10 08:47:01,2018-12-10 08:47:01,0.330s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_name""), Wala_Name)",Chrome 70.0.3538.110,,2018-12-10 08:47:01,2018-12-10 08:47:01,0.278s,PASSED
