Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_BC,Chrome 70.0.3538.110,,2018-12-04 09:34:41,2018-12-04 10:03:20,28m - 38.667s,PASSED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.110,,2018-12-04 09:34:41,2018-12-04 10:03:18,28m - 37.209s,PASSED
mj.loginBackoffice.login(),Chrome 70.0.3538.110,,2018-12-04 09:34:42,2018-12-04 09:34:51,8.918s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 70.0.3538.110,,2018-12-04 09:34:51,2018-12-04 09:34:51,0.219s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-04 09:34:51,2018-12-04 09:34:52,1.051s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 70.0.3538.110,,2018-12-04 09:34:52,2018-12-04 09:34:53,0.133s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 70.0.3538.110,,2018-12-04 09:34:53,2018-12-04 09:34:56,3.367s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-04 09:34:56,2018-12-04 09:34:57,1.006s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 70.0.3538.110,,2018-12-04 09:34:57,2018-12-04 09:34:57,0.099s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 70.0.3538.110,,2018-12-04 09:34:57,2018-12-04 09:34:57,0.258s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-04 09:34:57,2018-12-04 09:34:58,1.001s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 70.0.3538.110,,2018-12-04 09:34:58,2018-12-04 09:34:59,0.245s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 70.0.3538.110,,2018-12-04 09:34:59,2018-12-04 09:35:00,1.495s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 70.0.3538.110,,2018-12-04 09:35:00,2018-12-04 09:35:00,0.177s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 70.0.3538.110,,2018-12-04 09:35:00,2018-12-04 09:35:01,0.347s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_farm""), Meron_Farm)",Chrome 70.0.3538.110,,2018-12-04 09:35:01,2018-12-04 09:35:01,0.411s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_breed""), Meron_Breed)",Chrome 70.0.3538.110,,2018-12-04 09:35:01,2018-12-04 09:35:01,0.462s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_weight""), Meron_Weight)",Chrome 70.0.3538.110,,2018-12-04 09:35:01,2018-12-04 09:35:02,0.438s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_name""), Wala_Name)",Chrome 70.0.3538.110,,2018-12-04 09:35:02,2018-12-04 09:35:02,0.330s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_farm""), Wala_Farm)",Chrome 70.0.3538.110,,2018-12-04 09:35:02,2018-12-04 09:35:03,0.399s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_breed""), Wala_Breed)",Chrome 70.0.3538.110,,2018-12-04 09:35:03,2018-12-04 09:35:03,0.385s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_weight""), Wala_Weight)",Chrome 70.0.3538.110,,2018-12-04 09:35:03,2018-12-04 09:35:03,0.420s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/input_submit_match""))",Chrome 70.0.3538.110,,2018-12-04 09:35:03,2018-12-04 09:35:07,3.732s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_link_match""))",Chrome 70.0.3538.110,,2018-12-04 09:35:07,2018-12-04 09:35:08,0.513s,PASSED
switchToWindowIndex(1),Chrome 70.0.3538.110,,2018-12-04 09:35:08,2018-12-04 09:35:08,0.040s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-04 09:35:08,2018-12-04 09:35:09,1.004s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/open_match/button_open_match""))",Chrome 70.0.3538.110,,2018-12-04 09:35:09,2018-12-04 09:35:10,1.316s,PASSED
