Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_DC,Chrome 70.0.3538.110,,2018-12-04 11:03:53,2018-12-04 11:33:17,29m - 23.803s,PASSED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.110,,2018-12-04 11:03:53,2018-12-04 11:33:16,29m - 22.632s,PASSED
mj.loginBackoffice.login(),Chrome 70.0.3538.110,,2018-12-04 11:03:54,2018-12-04 11:04:03,9.006s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 70.0.3538.110,,2018-12-04 11:04:03,2018-12-04 11:04:03,0.200s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-04 11:04:03,2018-12-04 11:04:04,1.049s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 70.0.3538.110,,2018-12-04 11:04:04,2018-12-04 11:04:04,0.127s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 70.0.3538.110,,2018-12-04 11:04:04,2018-12-04 11:04:07,3.345s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-04 11:04:07,2018-12-04 11:04:08,1.003s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 70.0.3538.110,,2018-12-04 11:04:08,2018-12-04 11:04:08,0.065s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 70.0.3538.110,,2018-12-04 11:04:08,2018-12-04 11:04:09,0.159s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-04 11:04:09,2018-12-04 11:04:10,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 70.0.3538.110,,2018-12-04 11:04:10,2018-12-04 11:04:10,0.257s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 70.0.3538.110,,2018-12-04 11:04:10,2018-12-04 11:04:12,1.768s,PASSED
