Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_DRC,Chrome 70.0.3538.110,,2018-12-11 09:19:20,2018-12-11 09:20:14,53.936s,FAILED
,,,,,,
Test Cases/DEV/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.110,,2018-12-11 09:19:21,2018-12-11 09:20:13,52.659s,FAILED
mj.loginBackofficeDev.login(),Chrome 70.0.3538.110,,2018-12-11 09:19:22,2018-12-11 09:19:31,9.174s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 70.0.3538.110,,2018-12-11 09:19:31,2018-12-11 09:19:31,0.252s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-11 09:19:31,2018-12-11 09:19:32,1.049s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 70.0.3538.110,,2018-12-11 09:19:32,2018-12-11 09:19:33,0.129s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 70.0.3538.110,,2018-12-11 09:19:33,2018-12-11 09:19:39,6.931s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-11 09:19:39,2018-12-11 09:19:40,1.002s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 70.0.3538.110,,2018-12-11 09:19:40,2018-12-11 09:19:40,0.044s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 70.0.3538.110,,2018-12-11 09:19:40,2018-12-11 09:19:41,0.129s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-11 09:19:41,2018-12-11 09:19:42,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 70.0.3538.110,,2018-12-11 09:19:42,2018-12-11 09:19:42,0.326s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 70.0.3538.110,,2018-12-11 09:19:42,2018-12-11 09:19:44,1.912s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 70.0.3538.110,,2018-12-11 09:19:44,2018-12-11 09:19:44,0.206s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 70.0.3538.110,,2018-12-11 09:19:44,2018-12-11 09:19:44,0.349s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_farm""), Meron_Farm)",Chrome 70.0.3538.110,,2018-12-11 09:19:44,2018-12-11 09:19:45,0.451s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_breed""), Meron_Breed)",Chrome 70.0.3538.110,,2018-12-11 09:19:45,2018-12-11 09:19:45,0.495s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_weight""), Meron_Weight)",Chrome 70.0.3538.110,,2018-12-11 09:19:45,2018-12-11 09:19:46,0.501s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_name""), Wala_Name)",Chrome 70.0.3538.110,,2018-12-11 09:19:46,2018-12-11 09:19:46,0.350s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_farm""), Wala_Farm)",Chrome 70.0.3538.110,,2018-12-11 09:19:46,2018-12-11 09:19:47,0.497s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_breed""), Wala_Breed)",Chrome 70.0.3538.110,,2018-12-11 09:19:47,2018-12-11 09:19:47,0.438s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_weight""), Wala_Weight)",Chrome 70.0.3538.110,,2018-12-11 09:19:47,2018-12-11 09:19:48,0.531s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/input_submit_match""))",Chrome 70.0.3538.110,,2018-12-11 09:19:48,2018-12-11 09:19:56,8.172s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_link_match""))",Chrome 70.0.3538.110,,2018-12-11 09:19:56,2018-12-11 09:19:57,0.936s,PASSED
switchToWindowIndex(1),Chrome 70.0.3538.110,,2018-12-11 09:19:57,2018-12-11 09:19:57,0.054s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-11 09:19:57,2018-12-11 09:19:58,1.005s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/open_match/button_open_match""))",Chrome 70.0.3538.110,,2018-12-11 09:19:58,2018-12-11 09:19:59,1.307s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-11 09:19:59,2018-12-11 09:20:00,1.005s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""), 1)",Chrome 70.0.3538.110,,2018-12-11 09:20:00,2018-12-11 09:20:00,0.095s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-11 09:20:00,2018-12-11 09:20:01,1.002s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/settlement/button_finished_yes_i_agree""))",Chrome 70.0.3538.110,,2018-12-11 09:20:01,2018-12-11 09:20:01,0.191s,PASSED
delay(2),Chrome 70.0.3538.110,,2018-12-11 09:20:01,2018-12-11 09:20:03,2.003s,PASSED
closeWindowIndex(1),Chrome 70.0.3538.110,,2018-12-11 09:20:03,2018-12-11 09:20:04,0.103s,PASSED
switchToWindowIndex(0),Chrome 70.0.3538.110,,2018-12-11 09:20:04,2018-12-11 09:20:04,0.016s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 70.0.3538.110,,2018-12-11 09:20:04,2018-12-11 09:20:04,0.113s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-11 09:20:04,2018-12-11 09:20:05,1.004s,PASSED
"for ([loop = 1, loop <= 19, (loop++)])",Chrome 70.0.3538.110,,2018-12-11 09:20:05,2018-12-11 09:20:13,8.741s,FAILED
