Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_PC,Chrome 70.0.3538.110,,2018-12-12 09:28:03,2018-12-12 09:33:10,5m - 6.588s,PASSED
,,,,,,
Test Cases/DEV/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.110,,2018-12-12 09:28:04,2018-12-12 09:33:09,5m - 5.354s,PASSED
mj.loginBackofficeDev.login(),Chrome 70.0.3538.110,,2018-12-12 09:28:05,2018-12-12 09:28:13,8.422s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 70.0.3538.110,,2018-12-12 09:28:13,2018-12-12 09:28:13,0.232s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-12 09:28:13,2018-12-12 09:28:14,1.053s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 70.0.3538.110,,2018-12-12 09:28:14,2018-12-12 09:28:14,0.140s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 70.0.3538.110,,2018-12-12 09:28:14,2018-12-12 09:28:23,8.221s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-12 09:28:23,2018-12-12 09:28:24,1.004s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 70.0.3538.110,,2018-12-12 09:28:24,2018-12-12 09:28:24,0.097s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 70.0.3538.110,,2018-12-12 09:28:24,2018-12-12 09:28:24,0.316s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-12 09:28:24,2018-12-12 09:28:25,1.004s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 70.0.3538.110,,2018-12-12 09:28:25,2018-12-12 09:28:25,0.315s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 70.0.3538.110,,2018-12-12 09:28:25,2018-12-12 09:28:28,2.252s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 70.0.3538.110,,2018-12-12 09:28:28,2018-12-12 09:28:28,0.174s,PASSED
