Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_PSG,Chrome 70.0.3538.110,,2018-12-10 10:16:54,2018-12-10 10:19:52,2m - 58.443s,PASSED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.110,,2018-12-10 10:16:54,2018-12-10 10:19:51,2m - 56.937s,PASSED
mj.loginBackoffice.login(),Chrome 70.0.3538.110,,2018-12-10 10:16:55,2018-12-10 10:17:04,8.941s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 70.0.3538.110,,2018-12-10 10:17:04,2018-12-10 10:17:04,0.213s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-10 10:17:04,2018-12-10 10:17:06,1.045s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 70.0.3538.110,,2018-12-10 10:17:06,2018-12-10 10:17:06,0.141s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 70.0.3538.110,,2018-12-10 10:17:06,2018-12-10 10:17:08,1.953s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-10 10:17:08,2018-12-10 10:17:09,1.006s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 70.0.3538.110,,2018-12-10 10:17:09,2018-12-10 10:17:09,0.071s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 70.0.3538.110,,2018-12-10 10:17:09,2018-12-10 10:17:09,0.221s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-10 10:17:09,2018-12-10 10:17:10,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 70.0.3538.110,,2018-12-10 10:17:10,2018-12-10 10:17:10,0.126s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 70.0.3538.110,,2018-12-10 10:17:10,2018-12-10 10:17:11,0.497s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 70.0.3538.110,,2018-12-10 10:17:11,2018-12-10 10:17:11,0.147s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 70.0.3538.110,,2018-12-10 10:17:11,2018-12-10 10:17:11,0.301s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_farm""), Meron_Farm)",Chrome 70.0.3538.110,,2018-12-10 10:17:11,2018-12-10 10:17:11,0.370s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_breed""), Meron_Breed)",Chrome 70.0.3538.110,,2018-12-10 10:17:11,2018-12-10 10:17:12,0.380s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_weight""), Meron_Weight)",Chrome 70.0.3538.110,,2018-12-10 10:17:12,2018-12-10 10:17:12,0.394s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_name""), Wala_Name)",Chrome 70.0.3538.110,,2018-12-10 10:17:12,2018-12-10 10:17:12,0.301s,PASSED
