Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_RMC,Chrome 70.0.3538.110,,2018-12-07 11:29:10,2018-12-07 11:32:14,3m - 3.647s,PASSED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.110,,2018-12-07 11:29:11,2018-12-07 11:32:13,3m - 2.183s,PASSED
mj.loginBackoffice.login(),Chrome 70.0.3538.110,,2018-12-07 11:29:12,2018-12-07 11:29:21,9.160s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 70.0.3538.110,,2018-12-07 11:29:21,2018-12-07 11:29:21,0.219s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-07 11:29:21,2018-12-07 11:29:22,1.058s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 70.0.3538.110,,2018-12-07 11:29:22,2018-12-07 11:29:22,0.127s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 70.0.3538.110,,2018-12-07 11:29:22,2018-12-07 11:29:24,2.166s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-07 11:29:24,2018-12-07 11:29:25,1.004s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 70.0.3538.110,,2018-12-07 11:29:25,2018-12-07 11:29:25,0.066s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 70.0.3538.110,,2018-12-07 11:29:26,2018-12-07 11:29:26,0.138s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-07 11:29:26,2018-12-07 11:29:27,1.003s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 70.0.3538.110,,2018-12-07 11:29:27,2018-12-07 11:29:27,0.263s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 70.0.3538.110,,2018-12-07 11:29:27,2018-12-07 11:29:28,0.843s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 70.0.3538.110,,2018-12-07 11:29:28,2018-12-07 11:29:28,0.146s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 70.0.3538.110,,2018-12-07 11:29:28,2018-12-07 11:29:28,0.288s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_farm""), Meron_Farm)",Chrome 70.0.3538.110,,2018-12-07 11:29:28,2018-12-07 11:29:29,0.354s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_breed""), Meron_Breed)",Chrome 70.0.3538.110,,2018-12-07 11:29:29,2018-12-07 11:29:29,0.392s,PASSED
