Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_SJC,Chrome 71.0.3578.98,,2018-12-14 11:00:17,2018-12-14 11:05:31,5m - 14.672s,PASSED
,,,,,,
Test Cases/DEV/Backoffice/create_match/create_match_loop_with_open_match,Chrome 71.0.3578.98,,2018-12-14 11:00:17,2018-12-14 11:05:30,5m - 13.336s,PASSED
mj.loginBackofficeDev.login(),Chrome 71.0.3578.98,,2018-12-14 11:00:18,2018-12-14 11:00:27,8.916s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 71.0.3578.98,,2018-12-14 11:00:27,2018-12-14 11:00:27,0.307s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-14 11:00:27,2018-12-14 11:00:29,1.051s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 71.0.3578.98,,2018-12-14 11:00:29,2018-12-14 11:00:29,0.087s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 71.0.3578.98,,2018-12-14 11:00:29,2018-12-14 11:00:36,7.481s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-14 11:00:36,2018-12-14 11:00:37,1.005s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 71.0.3578.98,,2018-12-14 11:00:37,2018-12-14 11:00:37,0.116s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 71.0.3578.98,,2018-12-14 11:00:37,2018-12-14 11:00:38,0.321s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-14 11:00:38,2018-12-14 11:00:39,1.004s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 71.0.3578.98,,2018-12-14 11:00:39,2018-12-14 11:00:39,0.334s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 71.0.3578.98,,2018-12-14 11:00:39,2018-12-14 11:00:41,2.187s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2018-12-14 11:00:41,2018-12-14 11:00:41,0.184s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 71.0.3578.98,,2018-12-14 11:00:41,2018-12-14 11:00:42,0.387s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_farm""), Meron_Farm)",Chrome 71.0.3578.98,,2018-12-14 11:00:42,2018-12-14 11:00:42,0.499s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_breed""), Meron_Breed)",Chrome 71.0.3578.98,,2018-12-14 11:00:42,2018-12-14 11:00:43,0.511s,PASSED
