Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_SRC,Chrome 70.0.3538.110,,2018-12-10 09:23:02,2018-12-10 09:26:05,3m - 3.800s,PASSED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.110,,2018-12-10 09:23:02,2018-12-10 09:26:04,3m - 2.316s,PASSED
mj.loginBackoffice.login(),Chrome 70.0.3538.110,,2018-12-10 09:23:03,2018-12-10 09:23:11,8.680s,PASSED
"mouseOver(findTestObject(""Backoffice/headers/span_betting""))",Chrome 70.0.3538.110,,2018-12-10 09:23:11,2018-12-10 09:23:12,0.151s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-10 09:23:12,2018-12-10 09:23:13,1.039s,PASSED
"waitForElementVisible(findTestObject(""Backoffice/headers/span_match""), 2)",Chrome 70.0.3538.110,,2018-12-10 09:23:13,2018-12-10 09:23:13,0.156s,PASSED
"click(findTestObject(""Backoffice/headers/span_match""))",Chrome 70.0.3538.110,,2018-12-10 09:23:13,2018-12-10 09:23:15,2.007s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-10 09:23:15,2018-12-10 09:23:16,1.003s,PASSED
"verifyElementPresent(findTestObject(""Backoffice/match_mgmt/button_create_match""), 2)",Chrome 70.0.3538.110,,2018-12-10 09:23:16,2018-12-10 09:23:16,0.035s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/button_create_match""))",Chrome 70.0.3538.110,,2018-12-10 09:23:16,2018-12-10 09:23:16,0.084s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-10 09:23:16,2018-12-10 09:23:17,1.002s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/span_select_arena_name""))",Chrome 70.0.3538.110,,2018-12-10 09:23:17,2018-12-10 09:23:17,0.260s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Arena_Acronym)",Chrome 70.0.3538.110,,2018-12-10 09:23:17,2018-12-10 09:23:18,1.189s,PASSED
"sendKeys(findTestObject(""Backoffice/match_mgmt/input__select2-search__arena_name""), Keys.chord(ENTER))",Chrome 70.0.3538.110,,2018-12-10 09:23:18,2018-12-10 09:23:18,0.153s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_name""), Meron_Name)",Chrome 70.0.3538.110,,2018-12-10 09:23:18,2018-12-10 09:23:19,0.327s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_farm""), Meron_Farm)",Chrome 70.0.3538.110,,2018-12-10 09:23:19,2018-12-10 09:23:19,0.376s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_breed""), Meron_Breed)",Chrome 70.0.3538.110,,2018-12-10 09:23:19,2018-12-10 09:23:20,0.413s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/meron_details/input_meron_weight""), Meron_Weight)",Chrome 70.0.3538.110,,2018-12-10 09:23:20,2018-12-10 09:23:20,0.420s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_name""), Wala_Name)",Chrome 70.0.3538.110,,2018-12-10 09:23:20,2018-12-10 09:23:20,0.313s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_farm""), Wala_Farm)",Chrome 70.0.3538.110,,2018-12-10 09:23:20,2018-12-10 09:23:21,0.347s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_breed""), Wala_Breed)",Chrome 70.0.3538.110,,2018-12-10 09:23:21,2018-12-10 09:23:21,0.369s,PASSED
"setText(findTestObject(""Backoffice/match_mgmt/wala_details/input_wala_weight""), Wala_Weight)",Chrome 70.0.3538.110,,2018-12-10 09:23:21,2018-12-10 09:23:21,0.389s,PASSED
"click(findTestObject(""Backoffice/match_mgmt/input_submit_match""))",Chrome 70.0.3538.110,,2018-12-10 09:23:21,2018-12-10 09:23:23,1.883s,PASSED
