Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_ASC,Chrome 70.0.3538.102,,2018-11-28 14:00:22,2018-11-28 14:03:05,2m - 43.400s,PASSED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.102,,2018-11-28 14:00:22,2018-11-28 14:03:04,2m - 41.730s,PASSED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-28 14:00:23,2018-11-28 14:00:34,11.051s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-28 14:00:34,2018-11-28 14:00:34,0.200s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 14:00:34,2018-11-28 14:00:36,1.031s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-28 14:00:36,2018-11-28 14:00:36,0.109s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 14:00:36,2018-11-28 14:00:39,3.506s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 14:00:39,2018-11-28 14:00:40,1.004s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-28 14:00:40,2018-11-28 14:00:40,0.086s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 14:00:40,2018-11-28 14:00:40,0.269s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 14:00:40,2018-11-28 14:00:41,1.005s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 14:00:41,2018-11-28 14:00:42,0.347s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 14:00:42,2018-11-28 14:00:44,1.840s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-28 14:00:44,2018-11-28 14:00:44,0.196s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 14:00:44,2018-11-28 14:00:44,0.380s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 14:00:44,2018-11-28 14:00:45,0.445s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 14:00:45,2018-11-28 14:00:45,0.384s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 14:00:45,2018-11-28 14:00:46,0.469s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 14:00:46,2018-11-28 14:00:46,0.333s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 14:00:46,2018-11-28 14:00:46,0.411s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 14:00:46,2018-11-28 14:00:47,0.431s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 14:00:47,2018-11-28 14:00:47,0.440s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 14:00:47,2018-11-28 14:00:51,3.571s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 14:00:51,2018-11-28 14:00:51,0.716s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-28 14:00:51,2018-11-28 14:00:52,0.048s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 14:00:52,2018-11-28 14:00:53,1.005s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 14:00:53,2018-11-28 14:00:54,1.268s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 14:00:54,2018-11-28 14:00:55,1.003s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-28 14:00:55,2018-11-28 14:00:55,0.098s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 14:00:55,2018-11-28 14:00:56,1.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 14:00:56,2018-11-28 14:00:56,0.173s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 14:00:56,2018-11-28 14:00:58,2.004s,PASSED
closeWindowIndex,Chrome 70.0.3538.102,,2018-11-28 14:00:58,2018-11-28 14:00:58,0.138s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-28 14:00:58,2018-11-28 14:00:58,0.037s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-28 14:00:58,2018-11-28 14:00:58,0.050s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 14:00:58,2018-11-28 14:00:59,1.003s,PASSED
"Statement - For ([loop = 1, loop <= 12, (loop++)])",Chrome 70.0.3538.102,,2018-11-28 14:00:59,2018-11-28 14:03:04,2m - 4.677s,PASSED
