Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_ATSC,Chrome 70.0.3538.102,,2018-11-28 08:53:29,2018-11-28 09:04:30,11m - 1.090s,FAILED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.102,,2018-11-28 08:53:30,2018-11-28 09:04:29,10m - 59.346s,FAILED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-28 08:53:31,2018-11-28 08:54:20,48.701s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-28 08:54:20,2018-11-28 08:54:20,0.180s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 08:54:20,2018-11-28 08:54:21,1.049s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-28 08:54:21,2018-11-28 08:54:21,0.138s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 08:54:21,2018-11-28 08:54:24,3.333s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 08:54:24,2018-11-28 08:54:25,1.005s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-28 08:54:25,2018-11-28 08:54:25,0.091s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 08:54:25,2018-11-28 08:54:26,0.234s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 08:54:26,2018-11-28 08:54:27,1.005s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 08:54:27,2018-11-28 08:54:27,0.274s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 08:54:27,2018-11-28 08:54:29,1.797s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-28 08:54:29,2018-11-28 08:54:29,0.165s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 08:54:29,2018-11-28 08:54:29,0.329s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 08:54:29,2018-11-28 08:54:30,0.401s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 08:54:30,2018-11-28 08:54:30,0.426s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 08:54:30,2018-11-28 08:54:30,0.412s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 08:54:30,2018-11-28 08:54:31,0.310s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 08:54:31,2018-11-28 08:54:31,0.394s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 08:54:31,2018-11-28 08:54:32,0.379s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 08:54:32,2018-11-28 08:54:32,0.421s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 08:54:32,2018-11-28 08:54:39,6.910s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 08:54:39,2018-11-28 08:54:39,0.500s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-28 08:54:39,2018-11-28 08:54:39,0.051s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 08:54:39,2018-11-28 08:54:40,1.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 08:54:40,2018-11-28 08:54:42,1.399s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 08:54:42,2018-11-28 08:54:43,1.003s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-28 08:54:43,2018-11-28 08:54:43,0.093s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 08:54:43,2018-11-28 08:54:44,1.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 08:54:44,2018-11-28 08:54:44,0.191s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 08:54:44,2018-11-28 08:54:46,2.004s,PASSED
closeWindowIndex,Chrome 70.0.3538.102,,2018-11-28 08:54:46,2018-11-28 08:54:46,0.098s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-28 08:54:46,2018-11-28 08:54:46,0.036s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-28 08:54:46,2018-11-28 08:54:46,0.051s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 08:54:46,2018-11-28 08:54:47,1.004s,PASSED
"Statement - For ([loop = 1, loop <= 159, (loop++)])",Chrome 70.0.3538.102,,2018-11-28 08:54:47,2018-11-28 09:04:29,9m - 41.900s,FAILED
