Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_BC,Chrome 70.0.3538.102,,2018-11-29 11:52:52,2018-11-29 12:20:41,27m - 49.013s,PASSED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.102,,2018-11-29 11:52:53,2018-11-29 12:20:40,27m - 47.266s,PASSED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-29 11:52:54,2018-11-29 11:53:04,9.872s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-29 11:53:04,2018-11-29 11:53:04,0.247s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 11:53:04,2018-11-29 11:53:05,1.034s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-29 11:53:05,2018-11-29 11:53:05,0.164s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 11:53:05,2018-11-29 11:53:09,4.475s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 11:53:09,2018-11-29 11:53:10,1.006s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-29 11:53:10,2018-11-29 11:53:11,0.064s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 11:53:11,2018-11-29 11:53:11,0.269s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 11:53:11,2018-11-29 11:53:12,1.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 11:53:12,2018-11-29 11:53:12,0.289s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 11:53:12,2018-11-29 11:53:13,1.374s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-29 11:53:13,2018-11-29 11:53:14,0.210s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 11:53:14,2018-11-29 11:53:14,0.326s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 11:53:14,2018-11-29 11:53:14,0.376s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 11:53:14,2018-11-29 11:53:15,0.360s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 11:53:15,2018-11-29 11:53:15,0.433s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 11:53:15,2018-11-29 11:53:16,0.354s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 11:53:16,2018-11-29 11:53:16,0.402s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 11:53:16,2018-11-29 11:53:16,0.398s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 11:53:16,2018-11-29 11:53:17,0.428s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 11:53:17,2018-11-29 11:53:19,2.392s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 11:53:19,2018-11-29 11:53:20,0.855s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-29 11:53:20,2018-11-29 11:53:20,0.035s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 11:53:20,2018-11-29 11:53:21,1.005s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 11:53:21,2018-11-29 11:53:22,1.292s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 11:53:22,2018-11-29 11:53:23,1.004s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-29 11:53:23,2018-11-29 11:53:23,0.096s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 11:53:23,2018-11-29 11:53:24,1.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 11:53:24,2018-11-29 11:53:25,0.191s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 11:53:25,2018-11-29 11:53:27,2.004s,PASSED
closeWindowIndex,Chrome 70.0.3538.102,,2018-11-29 11:53:27,2018-11-29 11:53:27,0.149s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-29 11:53:27,2018-11-29 11:53:27,0.018s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-29 11:53:27,2018-11-29 11:53:27,0.086s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 11:53:27,2018-11-29 11:53:28,1.004s,PASSED
"Statement - For ([loop = 1, loop <= 160, (loop++)])",Chrome 70.0.3538.102,,2018-11-29 11:53:28,2018-11-29 12:20:40,27m - 12.068s,PASSED
