Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_BCA,Chrome 70.0.3538.102,,2018-11-28 17:18:25,2018-11-28 17:19:41,1m - 15.695s,FAILED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.102,,2018-11-28 17:18:26,2018-11-28 17:19:40,1m - 14.038s,FAILED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-28 17:18:27,2018-11-28 17:18:36,9.407s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-28 17:18:36,2018-11-28 17:18:36,0.205s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 17:18:36,2018-11-28 17:18:37,1.042s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-28 17:18:37,2018-11-28 17:18:37,0.154s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 17:18:37,2018-11-28 17:18:41,3.223s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 17:18:41,2018-11-28 17:18:42,1.003s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-28 17:18:42,2018-11-28 17:18:42,0.043s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 17:18:42,2018-11-28 17:18:42,0.136s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 17:18:42,2018-11-28 17:18:43,1.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 17:18:43,2018-11-28 17:18:43,0.259s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 17:18:43,2018-11-28 17:18:44,1.321s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-28 17:18:44,2018-11-28 17:18:45,0.213s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 17:18:45,2018-11-28 17:18:45,0.430s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 17:18:45,2018-11-28 17:18:46,0.410s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 17:18:46,2018-11-28 17:18:46,0.405s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 17:18:46,2018-11-28 17:18:46,0.442s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 17:18:46,2018-11-28 17:18:47,0.332s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 17:18:47,2018-11-28 17:18:47,0.424s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 17:18:47,2018-11-28 17:18:48,0.394s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 17:18:48,2018-11-28 17:18:48,0.479s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 17:18:48,2018-11-28 17:18:51,3.214s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 17:18:51,2018-11-28 17:18:52,0.802s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-28 17:18:52,2018-11-28 17:18:52,0.039s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 17:18:52,2018-11-28 17:18:53,1.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 17:18:53,2018-11-28 17:18:54,1.279s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 17:18:54,2018-11-28 17:18:55,1.003s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-28 17:18:55,2018-11-28 17:18:55,0.100s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 17:18:55,2018-11-28 17:18:56,1.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 17:18:56,2018-11-28 17:18:57,0.201s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 17:18:57,2018-11-28 17:18:59,2.003s,PASSED
closeWindowIndex,Chrome 70.0.3538.102,,2018-11-28 17:18:59,2018-11-28 17:18:59,0.164s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-28 17:18:59,2018-11-28 17:18:59,0.036s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-28 17:18:59,2018-11-28 17:18:59,0.060s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 17:18:59,2018-11-28 17:19:00,1.004s,PASSED
"Statement - For ([loop = 1, loop <= 14, (loop++)])",Chrome 70.0.3538.102,,2018-11-28 17:19:00,2018-11-28 17:19:40,39.721s,FAILED
