Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_CCAC,Chrome 70.0.3538.102,,2018-11-29 12:23:09,2018-11-29 12:53:42,30m - 32.916s,PASSED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.102,,2018-11-29 12:23:10,2018-11-29 12:53:41,30m - 31.033s,PASSED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-29 12:23:11,2018-11-29 12:23:21,9.983s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-29 12:23:21,2018-11-29 12:23:21,0.233s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 12:23:21,2018-11-29 12:23:22,1.043s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-29 12:23:22,2018-11-29 12:23:23,0.143s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 12:23:23,2018-11-29 12:23:25,2.241s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 12:23:25,2018-11-29 12:23:26,1.002s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-29 12:23:26,2018-11-29 12:23:26,0.074s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 12:23:26,2018-11-29 12:23:26,0.253s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 12:23:26,2018-11-29 12:23:27,1.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 12:23:27,2018-11-29 12:23:27,0.258s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 12:23:27,2018-11-29 12:23:30,2.678s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-29 12:23:30,2018-11-29 12:23:30,0.114s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 12:23:30,2018-11-29 12:23:31,0.375s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 12:23:31,2018-11-29 12:23:31,0.414s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 12:23:31,2018-11-29 12:23:31,0.450s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 12:23:31,2018-11-29 12:23:32,0.472s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 12:23:32,2018-11-29 12:23:32,0.311s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 12:23:32,2018-11-29 12:23:33,0.344s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 12:23:33,2018-11-29 12:23:33,0.252s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 12:23:33,2018-11-29 12:23:33,0.434s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 12:23:33,2018-11-29 12:23:36,2.905s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 12:23:36,2018-11-29 12:23:37,0.752s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-29 12:23:37,2018-11-29 12:23:37,0.043s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 12:23:37,2018-11-29 12:23:38,1.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 12:23:38,2018-11-29 12:23:39,1.305s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 12:23:39,2018-11-29 12:23:40,1.004s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-29 12:23:40,2018-11-29 12:23:40,0.098s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 12:23:40,2018-11-29 12:23:41,1.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 12:23:41,2018-11-29 12:23:42,0.192s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 12:23:42,2018-11-29 12:23:44,2.003s,PASSED
closeWindowIndex,Chrome 70.0.3538.102,,2018-11-29 12:23:44,2018-11-29 12:23:44,0.135s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-29 12:23:44,2018-11-29 12:23:44,0.040s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-29 12:23:44,2018-11-29 12:23:44,0.082s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 12:23:44,2018-11-29 12:23:45,1.004s,PASSED
"Statement - For ([loop = 1, loop <= 160, (loop++)])",Chrome 70.0.3538.102,,2018-11-29 12:23:45,2018-11-29 12:53:41,29m - 56.291s,PASSED
