Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_DC,Chrome 70.0.3538.102,,2018-11-29 09:16:08,2018-11-29 09:18:58,2m - 49.669s,PASSED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.102,,2018-11-29 09:16:09,2018-11-29 09:18:57,2m - 48.059s,PASSED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-29 09:16:09,2018-11-29 09:16:19,9.164s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-29 09:16:19,2018-11-29 09:16:19,0.237s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:16:19,2018-11-29 09:16:20,1.050s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-29 09:16:20,2018-11-29 09:16:20,0.141s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:16:20,2018-11-29 09:16:23,2.960s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:16:23,2018-11-29 09:16:24,1.004s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-29 09:16:24,2018-11-29 09:16:24,0.075s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:16:24,2018-11-29 09:16:24,0.213s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:16:24,2018-11-29 09:16:25,1.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:16:25,2018-11-29 09:16:25,0.261s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:16:25,2018-11-29 09:16:27,1.544s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-29 09:16:27,2018-11-29 09:16:27,0.178s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:16:27,2018-11-29 09:16:28,0.349s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:16:28,2018-11-29 09:16:28,0.378s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:16:28,2018-11-29 09:16:28,0.427s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:16:28,2018-11-29 09:16:29,0.311s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:16:29,2018-11-29 09:16:29,0.269s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:16:29,2018-11-29 09:16:29,0.363s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:16:29,2018-11-29 09:16:30,0.350s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:16:30,2018-11-29 09:16:30,0.373s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:16:30,2018-11-29 09:16:33,2.861s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:16:33,2018-11-29 09:16:34,0.695s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-29 09:16:34,2018-11-29 09:16:34,0.073s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:16:34,2018-11-29 09:16:35,1.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:16:35,2018-11-29 09:16:36,1.257s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:16:36,2018-11-29 09:16:37,1.004s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-29 09:16:37,2018-11-29 09:16:37,0.098s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:16:37,2018-11-29 09:16:38,1.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:16:38,2018-11-29 09:16:38,0.188s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:16:38,2018-11-29 09:16:40,2.004s,PASSED
closeWindowIndex,Chrome 70.0.3538.102,,2018-11-29 09:16:40,2018-11-29 09:16:40,0.107s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-29 09:16:40,2018-11-29 09:16:40,0.024s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-29 09:16:40,2018-11-29 09:16:40,0.053s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:16:40,2018-11-29 09:16:41,1.004s,PASSED
"Statement - For ([loop = 1, loop <= 14, (loop++)])",Chrome 70.0.3538.102,,2018-11-29 09:16:41,2018-11-29 09:18:57,2m - 15.323s,PASSED
