Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_DRC,Chrome 70.0.3538.102,,2018-11-28 09:48:03,2018-11-28 10:13:25,25m - 21.727s,PASSED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.102,,2018-11-28 09:48:04,2018-11-28 10:13:24,25m - 20.032s,PASSED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-28 09:48:05,2018-11-28 09:48:14,9.400s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-28 09:48:14,2018-11-28 09:48:15,0.224s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 09:48:15,2018-11-28 09:48:16,1.045s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-28 09:48:16,2018-11-28 09:48:16,0.119s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 09:48:16,2018-11-28 09:48:19,2.934s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 09:48:19,2018-11-28 09:48:20,1.002s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-28 09:48:20,2018-11-28 09:48:20,0.055s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 09:48:20,2018-11-28 09:48:20,0.218s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 09:48:20,2018-11-28 09:48:21,1.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 09:48:21,2018-11-28 09:48:21,0.300s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 09:48:21,2018-11-28 09:48:22,1.206s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-28 09:48:22,2018-11-28 09:48:23,0.170s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 09:48:23,2018-11-28 09:48:23,0.378s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 09:48:23,2018-11-28 09:48:23,0.390s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 09:48:23,2018-11-28 09:48:24,0.431s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 09:48:24,2018-11-28 09:48:24,0.428s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 09:48:24,2018-11-28 09:48:25,0.327s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 09:48:25,2018-11-28 09:48:25,0.419s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 09:48:25,2018-11-28 09:48:25,0.383s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 09:48:25,2018-11-28 09:48:26,0.415s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 09:48:26,2018-11-28 09:48:29,2.942s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 09:48:29,2018-11-28 09:48:29,0.466s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-28 09:48:29,2018-11-28 09:48:29,0.042s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 09:48:29,2018-11-28 09:48:30,1.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 09:48:30,2018-11-28 09:48:31,1.256s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 09:48:31,2018-11-28 09:48:32,1.004s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-28 09:48:32,2018-11-28 09:48:33,0.097s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 09:48:33,2018-11-28 09:48:34,1.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 09:48:34,2018-11-28 09:48:34,0.190s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 09:48:34,2018-11-28 09:48:36,2.003s,PASSED
closeWindowIndex,Chrome 70.0.3538.102,,2018-11-28 09:48:36,2018-11-28 09:48:36,0.083s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-28 09:48:36,2018-11-28 09:48:36,0.030s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-28 09:48:36,2018-11-28 09:48:36,0.043s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 09:48:36,2018-11-28 09:48:37,1.004s,PASSED
"Statement - For ([loop = 1, loop <= 159, (loop++)])",Chrome 70.0.3538.102,,2018-11-28 09:48:37,2018-11-28 10:13:24,24m - 47.073s,PASSED
