Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_JCSC,Chrome 70.0.3538.102,,2018-11-29 09:21:58,2018-11-29 09:24:58,2m - 59.607s,PASSED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.102,,2018-11-29 09:21:59,2018-11-29 09:24:57,2m - 58.274s,PASSED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-29 09:21:59,2018-11-29 09:22:08,8.979s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-29 09:22:08,2018-11-29 09:22:08,0.181s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:22:08,2018-11-29 09:22:09,1.042s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-29 09:22:09,2018-11-29 09:22:10,0.155s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:22:10,2018-11-29 09:22:13,3.417s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:22:13,2018-11-29 09:22:14,1.006s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-29 09:22:14,2018-11-29 09:22:14,0.074s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:22:14,2018-11-29 09:22:14,0.150s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:22:14,2018-11-29 09:22:15,1.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:22:15,2018-11-29 09:22:16,0.291s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:22:16,2018-11-29 09:22:17,1.850s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-29 09:22:17,2018-11-29 09:22:18,0.124s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:22:18,2018-11-29 09:22:18,0.363s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:22:18,2018-11-29 09:22:18,0.381s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:22:18,2018-11-29 09:22:19,0.363s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:22:19,2018-11-29 09:22:19,0.317s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:22:19,2018-11-29 09:22:19,0.336s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:22:19,2018-11-29 09:22:20,0.355s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:22:20,2018-11-29 09:22:20,0.364s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:22:20,2018-11-29 09:22:20,0.352s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:22:20,2018-11-29 09:22:23,2.545s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:22:23,2018-11-29 09:22:24,0.782s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-29 09:22:24,2018-11-29 09:22:24,0.070s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:22:24,2018-11-29 09:22:25,1.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:22:25,2018-11-29 09:22:26,1.263s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:22:26,2018-11-29 09:22:27,1.003s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-29 09:22:27,2018-11-29 09:22:27,0.097s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:22:27,2018-11-29 09:22:28,1.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:22:28,2018-11-29 09:22:28,0.183s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:22:28,2018-11-29 09:22:30,2.004s,PASSED
closeWindowIndex,Chrome 70.0.3538.102,,2018-11-29 09:22:30,2018-11-29 09:22:30,0.085s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-29 09:22:30,2018-11-29 09:22:30,0.023s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-29 09:22:30,2018-11-29 09:22:30,0.056s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:22:30,2018-11-29 09:22:31,1.003s,PASSED
"Statement - For ([loop = 1, loop <= 14, (loop++)])",Chrome 70.0.3538.102,,2018-11-29 09:22:31,2018-11-29 09:24:57,2m - 25.303s,PASSED
