Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_MC,Chrome 70.0.3538.102,,2018-11-29 09:25:02,2018-11-29 09:27:52,2m - 49.716s,PASSED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.102,,2018-11-29 09:25:03,2018-11-29 09:27:51,2m - 48.199s,PASSED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-29 09:25:03,2018-11-29 09:25:13,9.155s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-29 09:25:13,2018-11-29 09:25:13,0.231s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:25:13,2018-11-29 09:25:14,1.048s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-29 09:25:14,2018-11-29 09:25:14,0.147s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:25:14,2018-11-29 09:25:17,3.255s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:25:17,2018-11-29 09:25:18,1.002s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-29 09:25:18,2018-11-29 09:25:18,0.045s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:25:18,2018-11-29 09:25:18,0.119s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:25:18,2018-11-29 09:25:19,1.002s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:25:19,2018-11-29 09:25:20,0.285s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:25:20,2018-11-29 09:25:21,1.326s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-29 09:25:21,2018-11-29 09:25:21,0.192s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:25:21,2018-11-29 09:25:22,0.368s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:25:22,2018-11-29 09:25:22,0.381s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:25:22,2018-11-29 09:25:22,0.366s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:25:22,2018-11-29 09:25:23,0.250s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:25:23,2018-11-29 09:25:23,0.268s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:25:23,2018-11-29 09:25:23,0.241s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:25:23,2018-11-29 09:25:23,0.278s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-29 09:25:23,2018-11-29 09:25:24,0.392s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:25:24,2018-11-29 09:25:27,3.417s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:25:27,2018-11-29 09:25:28,0.729s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-29 09:25:28,2018-11-29 09:25:28,0.046s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:25:28,2018-11-29 09:25:29,1.002s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:25:29,2018-11-29 09:25:30,1.264s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:25:30,2018-11-29 09:25:31,1.004s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-29 09:25:31,2018-11-29 09:25:31,0.099s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:25:31,2018-11-29 09:25:32,1.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-29 09:25:32,2018-11-29 09:25:33,0.192s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:25:33,2018-11-29 09:25:35,2.003s,PASSED
closeWindowIndex,Chrome 70.0.3538.102,,2018-11-29 09:25:35,2018-11-29 09:25:35,0.083s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-29 09:25:35,2018-11-29 09:25:35,0.024s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-29 09:25:35,2018-11-29 09:25:35,0.053s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-29 09:25:35,2018-11-29 09:25:36,1.004s,PASSED
"Statement - For ([loop = 1, loop <= 14, (loop++)])",Chrome 70.0.3538.102,,2018-11-29 09:25:36,2018-11-29 09:27:51,2m - 15.212s,PASSED
