Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_PC,Chrome 70.0.3538.102,,2018-11-27 17:52:07,2018-11-27 17:58:40,6m - 32.499s,FAILED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.102,,2018-11-27 17:52:08,2018-11-27 17:58:39,6m - 30.862s,FAILED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-27 17:52:09,2018-11-27 17:52:18,8.823s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-27 17:52:18,2018-11-27 17:52:18,0.224s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 17:52:18,2018-11-27 17:52:19,1.037s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-27 17:52:19,2018-11-27 17:52:19,0.059s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 17:52:19,2018-11-27 17:52:22,2.528s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 17:52:22,2018-11-27 17:52:23,1.004s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-27 17:52:23,2018-11-27 17:52:23,0.051s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 17:52:23,2018-11-27 17:52:23,0.184s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 17:52:23,2018-11-27 17:52:24,1.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 17:52:24,2018-11-27 17:52:24,0.095s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 17:52:24,2018-11-27 17:52:25,1.101s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-27 17:52:25,2018-11-27 17:52:25,0.174s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 17:52:25,2018-11-27 17:52:26,0.346s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 17:52:26,2018-11-27 17:52:26,0.406s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 17:52:26,2018-11-27 17:52:26,0.418s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 17:52:26,2018-11-27 17:52:27,0.461s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 17:52:27,2018-11-27 17:52:27,0.366s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 17:52:27,2018-11-27 17:52:28,0.392s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 17:52:28,2018-11-27 17:52:28,0.401s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 17:52:28,2018-11-27 17:52:28,0.413s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 17:52:28,2018-11-27 17:52:31,2.781s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 17:52:31,2018-11-27 17:52:32,0.413s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-27 17:52:32,2018-11-27 17:52:32,0.054s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 17:52:32,2018-11-27 17:52:33,1.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 17:52:33,2018-11-27 17:52:34,1.270s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 17:52:34,2018-11-27 17:52:35,1.005s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-27 17:52:35,2018-11-27 17:52:35,0.095s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 17:52:35,2018-11-27 17:52:36,1.002s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 17:52:36,2018-11-27 17:52:36,0.194s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 17:52:36,2018-11-27 17:52:38,2.004s,PASSED
closeWindowIndex,Chrome 70.0.3538.102,,2018-11-27 17:52:38,2018-11-27 17:52:38,0.104s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-27 17:52:38,2018-11-27 17:52:38,0.035s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-27 17:52:38,2018-11-27 17:52:38,0.072s,PASSED
"Statement - For ([loop = 1, loop <= 159, (loop++)])",Chrome 70.0.3538.102,,2018-11-27 17:52:38,2018-11-27 17:58:39,6m - 0.400s,FAILED
