Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_PSG,Chrome 70.0.3538.102,,2018-11-28 11:00:35,2018-11-28 11:27:29,26m - 54.065s,PASSED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.102,,2018-11-28 11:00:36,2018-11-28 11:27:28,26m - 52.512s,PASSED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-28 11:00:37,2018-11-28 11:00:46,9.012s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-28 11:00:46,2018-11-28 11:00:46,0.075s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:00:46,2018-11-28 11:00:47,1.020s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-28 11:00:47,2018-11-28 11:00:47,0.138s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:00:47,2018-11-28 11:00:50,2.766s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:00:50,2018-11-28 11:00:51,1.003s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-28 11:00:51,2018-11-28 11:00:51,0.091s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:00:51,2018-11-28 11:00:51,0.239s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:00:51,2018-11-28 11:00:52,1.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:00:52,2018-11-28 11:00:52,0.293s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:00:52,2018-11-28 11:00:54,1.492s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-28 11:00:54,2018-11-28 11:00:54,0.175s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:00:54,2018-11-28 11:00:54,0.412s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:00:54,2018-11-28 11:00:55,0.403s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:00:55,2018-11-28 11:00:55,0.443s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:00:55,2018-11-28 11:00:56,0.412s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:00:56,2018-11-28 11:00:56,0.360s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:00:56,2018-11-28 11:00:56,0.386s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:00:56,2018-11-28 11:00:57,0.419s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:00:57,2018-11-28 11:00:57,0.431s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:00:57,2018-11-28 11:01:00,2.916s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:01:00,2018-11-28 11:01:01,0.809s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-28 11:01:01,2018-11-28 11:01:01,0.052s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:01:01,2018-11-28 11:01:02,1.005s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:01:02,2018-11-28 11:01:03,1.270s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:01:03,2018-11-28 11:01:04,1.004s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-28 11:01:04,2018-11-28 11:01:04,0.100s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:01:04,2018-11-28 11:01:05,1.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:01:05,2018-11-28 11:01:05,0.191s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:01:05,2018-11-28 11:01:07,2.005s,PASSED
closeWindowIndex,Chrome 70.0.3538.102,,2018-11-28 11:01:07,2018-11-28 11:01:08,0.084s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-28 11:01:08,2018-11-28 11:01:08,0.022s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-28 11:01:08,2018-11-28 11:01:08,0.049s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:01:08,2018-11-28 11:01:09,1.003s,PASSED
"Statement - For ([loop = 1, loop <= 159, (loop++)])",Chrome 70.0.3538.102,,2018-11-28 11:01:09,2018-11-28 11:27:28,26m - 19.593s,PASSED
