Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_RMC,Chrome 70.0.3538.102,,2018-11-28 11:27:39,2018-11-28 11:38:02,10m - 23.472s,FAILED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.102,,2018-11-28 11:27:40,2018-11-28 11:38:01,10m - 21.847s,FAILED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-28 11:27:40,2018-11-28 11:27:51,10.562s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-28 11:27:51,2018-11-28 11:27:51,0.256s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:27:51,2018-11-28 11:27:52,1.046s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-28 11:27:52,2018-11-28 11:27:52,0.140s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:27:52,2018-11-28 11:27:55,2.292s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:27:55,2018-11-28 11:27:56,1.003s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-28 11:27:56,2018-11-28 11:27:56,0.085s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:27:56,2018-11-28 11:27:56,0.239s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:27:56,2018-11-28 11:27:57,1.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:27:57,2018-11-28 11:27:57,0.276s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:27:57,2018-11-28 11:27:59,1.412s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-28 11:27:59,2018-11-28 11:27:59,0.146s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:27:59,2018-11-28 11:27:59,0.348s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:27:59,2018-11-28 11:28:00,0.442s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:28:00,2018-11-28 11:28:00,0.402s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:28:00,2018-11-28 11:28:00,0.421s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:28:00,2018-11-28 11:28:01,0.319s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:28:01,2018-11-28 11:28:01,0.358s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:28:01,2018-11-28 11:28:01,0.305s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:28:01,2018-11-28 11:28:02,0.419s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:28:02,2018-11-28 11:28:05,2.979s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:28:05,2018-11-28 11:28:06,0.740s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-28 11:28:06,2018-11-28 11:28:06,0.037s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:28:06,2018-11-28 11:28:07,1.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:28:07,2018-11-28 11:28:08,1.272s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:28:08,2018-11-28 11:28:09,1.003s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-28 11:28:09,2018-11-28 11:28:09,0.111s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:28:09,2018-11-28 11:28:10,1.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:28:10,2018-11-28 11:28:10,0.185s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:28:10,2018-11-28 11:28:12,2.003s,PASSED
closeWindowIndex,Chrome 70.0.3538.102,,2018-11-28 11:28:12,2018-11-28 11:28:12,0.102s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-28 11:28:12,2018-11-28 11:28:12,0.021s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-28 11:28:12,2018-11-28 11:28:12,0.054s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:28:12,2018-11-28 11:28:13,1.003s,PASSED
"Statement - For ([loop = 1, loop <= 159, (loop++)])",Chrome 70.0.3538.102,,2018-11-28 11:28:13,2018-11-28 11:38:01,9m - 48.027s,FAILED
