Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_SJC,Chrome 70.0.3538.102,,2018-11-28 11:38:08,2018-11-28 11:53:00,14m - 52.169s,FAILED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.102,,2018-11-28 11:38:08,2018-11-28 11:52:59,14m - 50.700s,FAILED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-28 11:38:09,2018-11-28 11:38:19,9.642s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-28 11:38:19,2018-11-28 11:38:19,0.211s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:38:19,2018-11-28 11:38:20,1.049s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-28 11:38:20,2018-11-28 11:38:20,0.072s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:38:20,2018-11-28 11:38:23,2.744s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:38:23,2018-11-28 11:38:24,1.003s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-28 11:38:24,2018-11-28 11:38:24,0.056s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:38:24,2018-11-28 11:38:24,0.245s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:38:24,2018-11-28 11:38:25,1.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:38:25,2018-11-28 11:38:25,0.295s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:38:25,2018-11-28 11:38:27,1.453s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-28 11:38:27,2018-11-28 11:38:27,0.178s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:38:27,2018-11-28 11:38:27,0.366s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:38:27,2018-11-28 11:38:28,0.404s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:38:28,2018-11-28 11:38:28,0.463s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:38:28,2018-11-28 11:38:29,0.433s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:38:29,2018-11-28 11:38:29,0.344s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:38:29,2018-11-28 11:38:29,0.382s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:38:29,2018-11-28 11:38:30,0.421s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:38:30,2018-11-28 11:38:30,0.510s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:38:30,2018-11-28 11:38:34,3.384s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:38:34,2018-11-28 11:38:34,0.659s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-28 11:38:34,2018-11-28 11:38:34,0.047s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:38:34,2018-11-28 11:38:35,1.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:38:35,2018-11-28 11:38:37,1.280s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:38:37,2018-11-28 11:38:38,1.003s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-28 11:38:38,2018-11-28 11:38:38,0.099s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:38:38,2018-11-28 11:38:39,1.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:38:39,2018-11-28 11:38:39,0.189s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:38:39,2018-11-28 11:38:41,2.004s,PASSED
closeWindowIndex,Chrome 70.0.3538.102,,2018-11-28 11:38:41,2018-11-28 11:38:41,0.085s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-28 11:38:41,2018-11-28 11:38:41,0.022s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-28 11:38:41,2018-11-28 11:38:41,0.074s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:38:41,2018-11-28 11:38:42,1.004s,PASSED
"Statement - For ([loop = 1, loop <= 159, (loop++)])",Chrome 70.0.3538.102,,2018-11-28 11:38:42,2018-11-28 11:52:59,14m - 16.777s,FAILED
