Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_SMC,Chrome 70.0.3538.102,,2018-11-28 11:53:06,2018-11-28 12:19:21,26m - 14.916s,PASSED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.102,,2018-11-28 11:53:06,2018-11-28 12:19:20,26m - 13.247s,PASSED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-28 11:53:07,2018-11-28 11:53:17,9.305s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-28 11:53:17,2018-11-28 11:53:17,0.247s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:53:17,2018-11-28 11:53:18,1.051s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-28 11:53:18,2018-11-28 11:53:18,0.113s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:53:18,2018-11-28 11:53:21,3.331s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:53:21,2018-11-28 11:53:22,1.003s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-28 11:53:22,2018-11-28 11:53:23,0.093s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:53:23,2018-11-28 11:53:23,0.243s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:53:23,2018-11-28 11:53:24,1.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:53:24,2018-11-28 11:53:24,0.288s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:53:24,2018-11-28 11:53:26,1.641s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-28 11:53:26,2018-11-28 11:53:26,0.189s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:53:26,2018-11-28 11:53:26,0.386s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:53:26,2018-11-28 11:53:27,0.388s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:53:27,2018-11-28 11:53:27,0.462s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:53:27,2018-11-28 11:53:28,0.426s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:53:28,2018-11-28 11:53:28,0.366s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:53:28,2018-11-28 11:53:28,0.393s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:53:28,2018-11-28 11:53:29,0.409s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-28 11:53:29,2018-11-28 11:53:29,0.407s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:53:29,2018-11-28 11:53:32,2.971s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:53:32,2018-11-28 11:53:33,0.464s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-28 11:53:33,2018-11-28 11:53:33,0.034s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:53:33,2018-11-28 11:53:34,1.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:53:34,2018-11-28 11:53:35,1.276s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:53:35,2018-11-28 11:53:36,1.004s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-28 11:53:36,2018-11-28 11:53:36,0.095s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:53:36,2018-11-28 11:53:37,1.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 11:53:37,2018-11-28 11:53:37,0.198s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:53:37,2018-11-28 11:53:39,2.003s,PASSED
closeWindowIndex,Chrome 70.0.3538.102,,2018-11-28 11:53:39,2018-11-28 11:53:39,0.083s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-28 11:53:39,2018-11-28 11:53:39,0.031s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-28 11:53:39,2018-11-28 11:53:39,0.055s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 11:53:39,2018-11-28 11:53:40,1.002s,PASSED
"Statement - For ([loop = 1, loop <= 159, (loop++)])",Chrome 70.0.3538.102,,2018-11-28 11:53:40,2018-11-28 12:19:20,25m - 39.301s,PASSED
