Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
match_SRC,Chrome 70.0.3538.102,,2018-11-27 19:39:38,2018-11-27 20:05:54,26m - 15.555s,PASSED
,,,,,,
Test Cases/Backoffice/create_match/create_match_loop_with_open_match,Chrome 70.0.3538.102,,2018-11-27 19:39:39,2018-11-27 20:05:53,26m - 13.954s,PASSED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-27 19:39:39,2018-11-27 19:39:49,9.469s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-27 19:39:49,2018-11-27 19:39:49,0.167s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 19:39:49,2018-11-27 19:39:50,1.049s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-27 19:39:50,2018-11-27 19:39:50,0.104s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 19:39:50,2018-11-27 19:39:52,2.161s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 19:39:52,2018-11-27 19:39:53,1.005s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-27 19:39:53,2018-11-27 19:39:53,0.093s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 19:39:53,2018-11-27 19:39:54,0.251s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 19:39:54,2018-11-27 19:39:55,1.006s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 19:39:55,2018-11-27 19:39:55,0.292s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 19:39:55,2018-11-27 19:39:57,1.787s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-27 19:39:57,2018-11-27 19:39:57,0.219s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 19:39:57,2018-11-27 19:39:57,0.369s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 19:39:57,2018-11-27 19:39:58,0.408s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 19:39:58,2018-11-27 19:39:58,0.412s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 19:39:58,2018-11-27 19:39:59,0.455s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 19:39:59,2018-11-27 19:39:59,0.359s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 19:39:59,2018-11-27 19:39:59,0.394s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 19:39:59,2018-11-27 19:40:00,0.406s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 19:40:00,2018-11-27 19:40:00,0.443s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 19:40:00,2018-11-27 19:40:03,3.054s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 19:40:03,2018-11-27 19:40:04,0.465s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-27 19:40:04,2018-11-27 19:40:04,0.052s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 19:40:04,2018-11-27 19:40:05,1.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 19:40:05,2018-11-27 19:40:06,1.257s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 19:40:06,2018-11-27 19:40:07,1.003s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-27 19:40:07,2018-11-27 19:40:07,0.097s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 19:40:07,2018-11-27 19:40:08,1.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 19:40:08,2018-11-27 19:40:08,0.192s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 19:40:08,2018-11-27 19:40:10,2.004s,PASSED
closeWindowIndex,Chrome 70.0.3538.102,,2018-11-27 19:40:10,2018-11-27 19:40:10,0.103s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-27 19:40:10,2018-11-27 19:40:11,0.043s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-27 19:40:11,2018-11-27 19:40:11,0.070s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 19:40:11,2018-11-27 19:40:12,1.003s,PASSED
"Statement - For ([loop = 1, loop <= 159, (loop++)])",Chrome 70.0.3538.102,,2018-11-27 19:40:12,2018-11-27 20:05:53,25m - 41.245s,PASSED
