Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
create_arena,Chrome 70.0.3538.102,,2018-11-26 08:44:00,2018-11-26 08:44:11,11.697s,PASSED
,,,,,,
Test Cases/Backoffice/create_arena/1_arena,Chrome 70.0.3538.102,,2018-11-26 08:44:00,2018-11-26 08:44:11,10.791s,PASSED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-26 08:44:00,2018-11-26 08:44:07,6.804s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-26 08:44:07,2018-11-26 08:44:07,0.130s,PASSED
click,Chrome 70.0.3538.102,,2018-11-26 08:44:07,2018-11-26 08:44:08,0.727s,PASSED
click,Chrome 70.0.3538.102,,2018-11-26 08:44:08,2018-11-26 08:44:08,0.094s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-26 08:44:08,2018-11-26 08:44:10,2.023s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-26 08:44:10,2018-11-26 08:44:10,0.099s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-26 08:44:10,2018-11-26 08:44:10,0.104s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-26 08:44:10,2018-11-26 08:44:10,0.113s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-26 08:44:10,2018-11-26 08:44:11,0.163s,PASSED
click,Chrome 70.0.3538.102,,2018-11-26 08:44:11,2018-11-26 08:44:11,0.096s,PASSED
