Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
create_arena_15,Chrome 70.0.3538.102,,2018-11-26 09:16:25,2018-11-26 09:19:30,3m - 4.968s,FAILED
,,,,,,
Test Cases/Backoffice/create_arena/1_arena,Chrome 70.0.3538.102,,2018-11-26 09:16:25,2018-11-26 09:16:39,13.304s,PASSED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-26 09:16:26,2018-11-26 09:16:34,8.228s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-26 09:16:34,2018-11-26 09:16:34,0.163s,PASSED
click,Chrome 70.0.3538.102,,2018-11-26 09:16:34,2018-11-26 09:16:35,0.827s,PASSED
click,Chrome 70.0.3538.102,,2018-11-26 09:16:35,2018-11-26 09:16:35,0.094s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-26 09:16:35,2018-11-26 09:16:37,2.032s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-26 09:16:37,2018-11-26 09:16:38,0.283s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-26 09:16:38,2018-11-26 09:16:38,0.239s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-26 09:16:38,2018-11-26 09:16:38,0.246s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-26 09:16:38,2018-11-26 09:16:38,0.099s,PASSED
click,Chrome 70.0.3538.102,,2018-11-26 09:16:38,2018-11-26 09:16:39,0.699s,PASSED
,,,,,,
Test Cases/Backoffice/create_arena/1_arena,Chrome 70.0.3538.102,,2018-11-26 09:16:39,2018-11-26 09:16:50,11.466s,PASSED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-26 09:16:39,2018-11-26 09:16:46,6.924s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-26 09:16:46,2018-11-26 09:16:46,0.099s,PASSED
click,Chrome 70.0.3538.102,,2018-11-26 09:16:46,2018-11-26 09:16:47,0.749s,PASSED
click,Chrome 70.0.3538.102,,2018-11-26 09:16:47,2018-11-26 09:16:47,0.092s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-26 09:16:47,2018-11-26 09:16:49,2.002s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-26 09:16:49,2018-11-26 09:16:49,0.236s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-26 09:16:49,2018-11-26 09:16:49,0.258s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-26 09:16:49,2018-11-26 09:16:49,0.205s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-26 09:16:49,2018-11-26 09:16:49,0.103s,PASSED
click,Chrome 70.0.3538.102,,2018-11-26 09:16:49,2018-11-26 09:16:50,0.783s,PASSED
,,,,,,
Test Cases/Backoffice/create_arena/1_arena,Chrome 70.0.3538.102,,2018-11-26 09:16:50,2018-11-26 09:17:02,11.722s,PASSED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-26 09:16:50,2018-11-26 09:16:57,7.013s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-26 09:16:57,2018-11-26 09:16:57,0.153s,PASSED
click,Chrome 70.0.3538.102,,2018-11-26 09:16:57,2018-11-26 09:16:58,0.773s,PASSED
click,Chrome 70.0.3538.102,,2018-11-26 09:16:58,2018-11-26 09:16:58,0.131s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-26 09:16:58,2018-11-26 09:17:00,2.002s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-26 09:17:00,2018-11-26 09:17:01,0.241s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-26 09:17:01,2018-11-26 09:17:01,0.370s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-26 09:17:01,2018-11-26 09:17:01,0.228s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-26 09:17:01,2018-11-26 09:17:01,0.094s,PASSED
click,Chrome 70.0.3538.102,,2018-11-26 09:17:01,2018-11-26 09:17:02,0.707s,PASSED
,,,,,,
Test Cases/Backoffice/create_arena/1_arena,Chrome 70.0.3538.102,,2018-11-26 09:17:02,2018-11-26 09:17:14,11.824s,PASSED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-26 09:17:02,2018-11-26 09:17:09,7.184s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-26 09:17:09,2018-11-26 09:17:09,0.098s,PASSED
click,Chrome 70.0.3538.102,,2018-11-26 09:17:09,2018-11-26 09:17:10,0.807s,PASSED
click,Chrome 70.0.3538.102,,2018-11-26 09:17:10,2018-11-26 09:17:10,0.114s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-26 09:17:10,2018-11-26 09:17:12,2.002s,PASSED
