Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
160_match,Chrome 70.0.3538.102,,2018-11-26 18:54:03,2018-11-26 19:07:02,12m - 59.335s,PASSED
,,,,,,
Test Cases/Backoffice/create_match/create_match,Chrome 70.0.3538.102,,2018-11-26 18:54:03,2018-11-26 19:07:02,12m - 58.308s,PASSED
mj.loginBackoffice.login,Chrome 70.0.3538.102,,2018-11-26 18:54:04,2018-11-26 18:54:10,6.738s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-26 18:54:10,2018-11-26 18:54:10,0.119s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-26 18:54:10,2018-11-26 18:54:11,1.018s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-26 18:54:11,2018-11-26 18:54:11,0.077s,PASSED
click,Chrome 70.0.3538.102,,2018-11-26 18:54:11,2018-11-26 18:54:13,1.151s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-26 18:54:13,2018-11-26 18:54:14,1.002s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-26 18:54:14,2018-11-26 18:54:14,0.057s,PASSED
"Statement - For ([loop = 1, loop <= 160, (loop++)])",Chrome 70.0.3538.102,,2018-11-26 18:54:14,2018-11-26 19:07:02,12m - 47.794s,PASSED
